"cell_line_id","target_name","uniprot_id","ensg_id"
783,"SNF8","Q96H20","ENSG00000159210"
784,"SPAST","Q9UBP0","ENSG00000021574"
785,"STAM","Q92783","ENSG00000136738"
786,"STAM2","O75886","ENSG00000115145"
787,"TSG101","Q99816","ENSG00000074319"
788,"VPS25","Q9BRG1","ENSG00000131475"
789,"VPS28","Q9UK41","ENSG00000160948"
790,"VPS36","Q86VN1","ENSG00000136100"
791,"VPS37B","Q9H9H4","ENSG00000139722"
796,"GOLGA2","Q08379","ENSG00000167110"
797,"PFDN6","O15212","ENSG00000206283"
798,"PHF10","Q8WUB8","ENSG00000130024"
799,"CCAR1","Q8IX12","ENSG00000060339"
800,"ARFIP2","P53365","ENSG00000132254"
801,"TATDN3","Q17R31","ENSG00000203705"
802,"MSH6","P52701","ENSG00000116062"
803,"ARFGEF1","Q9Y6D6","ENSG00000066777"
804,"USP1","O94782","ENSG00000162607"
805,"TMEM87A","Q8NBN3","ENSG00000103978"
806,"LARP7","Q4G0J3","ENSG00000174720"
809,"ZNF326","Q5BKZ1","ENSG00000162664"
810,"LIG1","P18858","ENSG00000105486"
813,"MAN1A2","O60476","ENSG00000198162"
816,"GPR107","Q5VW38","ENSG00000148358"
817,"SYAP1","Q96A49","ENSG00000169895"
818,"MFN1","Q8IWA4","ENSG00000171109"
820,"TOMM20","Q15388","ENSG00000173726"
821,"TOMM70","O94826","ENSG00000154174"
825,"TUBA1B","P68363","ENSG00000123416"
826,"TUBB4B","P68371","ENSG00000188229"
828,"MAP4","P27816","ENSG00000047849"
830,"EDC4","Q6P2E9","ENSG00000038358"
831,"SEC16A","O15027","ENSG00000148396"
832,"CLINT1","Q14677","ENSG00000113282"
833,"EDC3","Q96F86","ENSG00000179151"
835,"DCP1B","Q8IZD4","ENSG00000284850"
836,"DCP2","Q8IU60","ENSG00000172795"
837,"DCP1A","Q9NPI6","ENSG00000272886"
838,"VIM","P08670","ENSG00000026025"
839,"LNPK","Q9C0E8","ENSG00000144320"
840,"POLR1A","O95602","ENSG00000068654"
841,"POLR1B","Q9H9Y6","ENSG00000125630"
842,"POLR1D","P0DPB6","ENSG00000186184"
843,"POLR1C","O15160","ENSG00000171453"
844,"POLR1E","Q9GZS1","ENSG00000137054"
845,"POLR1F","Q3B726","ENSG00000105849"
846,"UBTF","P17480","ENSG00000108312"
847,"TBP","P20226","ENSG00000112592"
851,"TAF1D","Q9H5J8","ENSG00000166012"
852,"TAF12","Q16514","ENSG00000120656"
854,"CSNK2A2","P19784","ENSG00000070770"
855,"CSNK2A1","P68400","ENSG00000101266"
856,"TOP2A","P11388","ENSG00000131747"
857,"FBL","P22087","ENSG00000105202"
858,"NOP58","Q9Y2X3","ENSG00000055044"
859,"NPM1","P06748","ENSG00000181163"
860,"NPM3","O75607","ENSG00000107833"
861,"RRP1","P56182","ENSG00000160214"
862,"RPL35","P42766","ENSG00000136942"
863,"RPL10A","P62906","ENSG00000198755"
866,"RPS14","P62263","ENSG00000164587"
867,"RPS11","P62280","ENSG00000142534"
868,"COIL","P38432","ENSG00000121058"
870,"GOLGA7","Q7Z5G4","ENSG00000147533"
872,"ATP1A1","P05023","ENSG00000163399"
873,"EZR","P15311","ENSG00000092820"
874,"CD151","P48509","ENSG00000177697"
875,"CDH2","P19022","ENSG00000170558"
876,"ATP2B1","P20020","ENSG00000070961"
878,"IGF1R","P08069","ENSG00000140443"
882,"TFRC","P02786","ENSG00000072274"
884,"ALCAM","Q13740","ENSG00000170017"
885,"ZYX","Q15942","ENSG00000159840"
886,"MSN","P26038","ENSG00000147065"
887,"KIAA0319L","Q8IZA0","ENSG00000142687"
888,"LAMP1","P11279","ENSG00000185896"
889,"LAMP2","P13473","ENSG00000005893"
890,"LMNA","P02545","ENSG00000160789"
892,"LMNB1","P20700","ENSG00000113368"
893,"SLC25A17","O43808","ENSG00000100372"
894,"SEC23A","Q15436","ENSG00000100934"
895,"SEC23B","Q15437","ENSG00000101310"
896,"YIPF5","Q969M3","ENSG00000145817"
899,"SEC24C","P53992","ENSG00000176986"
901,"SEC31A","O94979","ENSG00000138674"
903,"SEC13","P55735","ENSG00000157020"
904,"SAR1A","Q9NR31","ENSG00000079332"
905,"SAR1B","Q9Y6B6","ENSG00000152700"
906,"TMED10","P49755","ENSG00000170348"
907,"TMED2","Q15363","ENSG00000086598"
908,"MYBBP1A","Q9BQG0","ENSG00000132382"
909,"COPA","P53621","ENSG00000122218"
910,"COPE","O14579","ENSG00000105669"
911,"COPG1","Q9Y678","ENSG00000181789"
912,"PIN4","Q9Y237","ENSG00000102309"
914,"COPZ1","P61923","ENSG00000111481"
915,"COPB2","P35606","ENSG00000184432"
916,"COPG2","Q9UBF2","ENSG00000158623"
922,"ARFGAP1","Q8N6T3","ENSG00000101199"
923,"LMAN1","P49257","ENSG00000074695"
925,"CENPA","P49450","ENSG00000115163"
926,"CENPM","Q9NSP4","ENSG00000100162"
927,"CENPW","Q5EE01","ENSG00000203760"
928,"MAPRE1","Q15691","ENSG00000101367"
929,"PCNA","P12004","ENSG00000132646"
930,"CCNB1","P14635","ENSG00000134057"
931,"CDK1","P06493","ENSG00000170312"
932,"TARDBP","Q13148","ENSG00000120948"
933,"PARP1","P09874","ENSG00000143799"
934,"PHGDH","O43175","ENSG00000092621"
935,"NANS","Q9NR45","ENSG00000095380"
936,"PKM","P14618","ENSG00000067225"
937,"ENO1","P06733","ENSG00000074800"
938,"GSTP1","P09211","ENSG00000084207"
939,"BLVRB","P30043","ENSG00000090013"
940,"FKBP5","Q13451","ENSG00000096060"
941,"LGALS1","P09382","ENSG00000100097"
944,"MYH9","P35579","ENSG00000100345"
945,"LDHA","P00338","ENSG00000288299"
947,"RNASEH2A","O75792","ENSG00000104889"
948,"LZTS2","Q9BRK4","ENSG00000107816"
951,"CPSF6","Q16630","ENSG00000111605"
952,"GAPDH","P04406","ENSG00000111640"
953,"NOP2","P46087","ENSG00000111641"
954,"LDHB","P07195","ENSG00000111716"
957,"ALG2","Q9H553","ENSG00000119523"
958,"CALD1","Q05682","ENSG00000122786"
959,"ASS1","P00966","ENSG00000130707"
960,"AKAP12","Q02952","ENSG00000131016"
961,"C9orf78","Q9NZ63","ENSG00000136819"
962,"ESD","P10768","ENSG00000139684"
965,"HOMER1","Q86YM7","ENSG00000152413"
967,"HEATR3","Q7Z4Q2","ENSG00000155393"
968,"RER1","O15258","ENSG00000157916"
970,"ABCE1","P61221","ENSG00000164163"
973,"PAIP1","Q9H074","ENSG00000172239"
974,"EIF3K","Q9UBQ5","ENSG00000178982"
975,"H1-0","P07305","ENSG00000189060"
976,"S100A10","P60903","ENSG00000197747"
978,"G6PD","P11413","ENSG00000160211"
980,"ALDH16A1","Q8IZ83","ENSG00000161618"
982,"ALDH9A1","P49189","ENSG00000143149"
984,"NCOA1","Q15788","ENSG00000084676"
988,"RPS16","P62249","ENSG00000105193"
989,"EWSR1","Q01844","ENSG00000182944"
992,"DDX5","P17844","ENSG00000108654"
994,"PDCD6","O75340","ENSG00000249915"
996,"CAD","P27708","ENSG00000084774"
997,"MIF","P14174","ENSG00000240972"
999,"TDP1","Q9NUW8","ENSG00000042088"
1001,"MRTO4","Q9UKD2","ENSG00000053372"
1002,"PSPC1","Q8WXF1","ENSG00000121390"
1004,"TOP1","P11387","ENSG00000198900"
1005,"LAMTOR2","Q9Y2Q5","ENSG00000116586"
1006,"WDR3","Q9UNX4","ENSG00000065183"
1007,"SMARCA5","O60264","ENSG00000153147"
1008,"ECPAS","Q5VYK3","ENSG00000136813"
1009,"WBP2","Q969T9","ENSG00000132471"
1010,"CERS6","Q6ZMG9","ENSG00000172292"
1011,"RPAP2","Q8IXW5","ENSG00000122484"
1013,"DBNDD1","Q9H9R9","ENSG00000003249"
1015,"CLNS1A","P54105","ENSG00000074201"
1019,"HNRNPA0","Q13151","ENSG00000177733"
1021,"CSK","P41240","ENSG00000103653"
1022,"DNTTIP1","Q9H147","ENSG00000101457"
1024,"FAU","P62861","ENSG00000149806"
1025,"CTNNBL1","Q8WYA6","ENSG00000132792"
1028,"RPL5","P46777","ENSG00000122406"
1029,"RPL11","P62913","ENSG00000142676"
1030,"NCL","P19338","ENSG00000115053"
1031,"UBA52","P62987","ENSG00000221983"
1033,"SRP9","P49458","ENSG00000143742"
1034,"SMC1A","Q14683","ENSG00000072501"
1035,"NHP2","Q9NX24","ENSG00000145912"
1036,"H2BC21","Q16778","ENSG00000184678"
1037,"HNRNPL","P14866","ENSG00000282947"
1038,"GLUL","P15104","ENSG00000135821"
1039,"ILF3","Q12906","ENSG00000129351"
1040,"SSRP1","Q08945","ENSG00000149136"
1041,"SSB","P05455","ENSG00000138385"
1042,"CDKN2A","P42771","ENSG00000147889"
1043,"GNL3","Q9BVP2","ENSG00000163938"
1044,"RSL1D1","O76021","ENSG00000171490"
1045,"DHX9","Q08211","ENSG00000135829"
1046,"NOP10","Q9NPE3","ENSG00000182117"
1047,"XPO1","O14980","ENSG00000082898"
1048,"DDB1","Q16531","ENSG00000167986"
1049,"DKC1","O60832","ENSG00000130826"
1050,"AAMP","Q13685","ENSG00000127837"
1051,"DDX21","Q9NR30","ENSG00000165732"
1052,"CSNK2B","P67870","ENSG00000232960"
1053,"SNU13","P55769","ENSG00000100138"
1054,"PES1","O00541","ENSG00000100029"
1055,"SUPT16H","Q9Y5B9","ENSG00000092201"
1056,"NOP53","Q9NZM5","ENSG00000105373"
1057,"EBNA1BP2","Q99848","ENSG00000117395"
1059,"BUD23","O43709","ENSG00000071462"
1060,"BLM","P54132","ENSG00000197299"
1061,"BOP1","Q14137","ENSG00000285301"
1062,"NOL11","Q9H8H0","ENSG00000130935"
1063,"SRP68","Q9UHB9","ENSG00000167881"
1064,"DDX56","Q9NY93","ENSG00000136271"
1065,"GTPBP4","Q9BZE4","ENSG00000107937"
1066,"TCOF1","Q13428","ENSG00000070814"
1067,"IMP3","Q9NV31","ENSG00000177971"
1068,"LTV1","Q96GA3","ENSG00000135521"
1070,"GNL2","Q13823","ENSG00000134697"
1071,"GAR1","Q9NY12","ENSG00000109534"
1073,"UTP6","Q9NYH9","ENSG00000108651"
1074,"WDR12","Q9GZL7","ENSG00000138442"
1075,"SUPT5H","O00267","ENSG00000196235"
1078,"RBM28","Q9NW13","ENSG00000106344"
1079,"UTP4","Q969X6","ENSG00000262788"
1080,"TSR1","Q2NL82","ENSG00000167721"
1082,"BYSL","Q13895","ENSG00000112578"
1083,"AATF","Q9NY61","ENSG00000275700"
1085,"DDX47","Q9H0S4","ENSG00000213782"
1086,"WDR46","O15213","ENSG00000227057"
1087,"YY1","P25490","ENSG00000100811"
1089,"UTP14A","Q9BVJ6","ENSG00000156697"
1090,"TMA16","Q96EY4","ENSG00000198498"
1092,"EMG1","Q92979","ENSG00000126749"
1094,"ANXA11","P50995","ENSG00000122359"
1095,"NVL","O15381","ENSG00000143748"
1096,"TSR2","Q969E8","ENSG00000158526"
1098,"PDCD11","Q14690","ENSG00000148843"
1099,"MAPK9","P45984","ENSG00000050748"
1100,"NUMA1","Q14980","ENSG00000137497"
1101,"CBX1","P83916","ENSG00000108468"
1102,"WDR75","Q8IWA0","ENSG00000115368"
1103,"NMD3","Q96D46","ENSG00000169251"
1104,"NEPRO","Q6NW34","ENSG00000163608"
1105,"SRP54","P61011","ENSG00000100883"
1106,"DHX37","Q8IY37","ENSG00000150990"
1108,"SPOUT1","Q5T280","ENSG00000198917"
1109,"SMN1","Q16637","ENSG00000273772"
1111,"USP36","Q9P275","ENSG00000055483"
1112,"NOL10","Q9BSC4","ENSG00000115761"
1114,"NAF1","Q96HR8","ENSG00000145414"
1115,"ZCCHC9","Q8N567","ENSG00000131732"
1117,"NOM1","Q5C9Z4","ENSG00000146909"
1118,"MPHOSPH10","O00566","ENSG00000124383"
1119,"BMS1","Q14692","ENSG00000165733"
1124,"AKT2","P31751","ENSG00000105221"
1126,"ARAF","P10398","ENSG00000078061"
1127,"ATM","Q13315","ENSG00000149311"
1129,"AURKB","Q96GD4","ENSG00000178999"
1130,"BAZ1A","Q9NRL2","ENSG00000198604"
1131,"BAZ1B","Q9UIG0","ENSG00000009954"
1132,"BLVRA","P53004","ENSG00000106605"
1133,"BRD2","P25440","ENSG00000235307"
1134,"BRD3","Q15059","ENSG00000169925"
1135,"BRD4","O60885","ENSG00000141867"
1136,"BUB1","O43683","ENSG00000169679"
1137,"CAMK1","Q14012","ENSG00000134072"
1138,"CAMK2G","Q13555","ENSG00000148660"
1141,"CDC42BPB","Q9Y5S2","ENSG00000198752"
1142,"CDC7","O00311","ENSG00000097046"
1144,"CDK11B","P21127","ENSG00000248333"
1145,"CDK12","Q9NYV4","ENSG00000167258"
1146,"CDK13","Q14004","ENSG00000065883"
1148,"CDK2","P24941","ENSG00000123374"
1149,"CDK4","P11802","ENSG00000135446"
1151,"CDK7","P50613","ENSG00000134058"
1152,"CDK9","P50750","ENSG00000136807"
1153,"CHEK2","O96017","ENSG00000183765"
1156,"CLK2","P49760","ENSG00000176444"
1157,"CLK3","P49761","ENSG00000179335"
1161,"CSNK1A1","P48729","ENSG00000113712"
1162,"CSNK1D","P48730","ENSG00000141551"
1163,"CSNK1E","P49674","ENSG00000213923"
1165,"CSNK1G3","Q9Y6M4","ENSG00000151292"
1166,"DAPK3","O43293","ENSG00000167657"
1172,"RACK1","P63244","ENSG00000204628"
1175,"ACTG1","P63261","ENSG00000184009"
1179,"FYN","P06241","ENSG00000010810"
1182,"GSK3A","P49840","ENSG00000105723"
1183,"GSK3B","P49841","ENSG00000082701"
1186,"IKBKB","O14920","ENSG00000104365"
1187,"ILK","Q13418","ENSG00000166333"
1188,"IRAK1","P51617","ENSG00000184216"
1190,"LIMK2","P53671","ENSG00000182541"
1191,"MAP2K1","Q02750","ENSG00000169032"
1192,"MAP2K2","P36507","ENSG00000126934"
1193,"MAP2K3","P46734","ENSG00000034152"
1194,"MAP2K7","O14733","ENSG00000076984"
1199,"MAP3K7","O43318","ENSG00000135341"
1201,"MAPK1","P28482","ENSG00000100030"
1203,"MAPK14","Q16539","ENSG00000112062"
1204,"MAPK3","P27361","ENSG00000102882"
1207,"MAPK8","P45983","ENSG00000107643"
1209,"MAPKAPK2","P49137","ENSG00000162889"
1210,"MAPKAPK3","Q16644","ENSG00000114738"
1212,"AGO1","Q9UL18","ENSG00000092847"
1213,"AGO2","Q9UKV8","ENSG00000123908"
1216,"MARK2","Q7KZI7","ENSG00000072518"
1217,"MARK3","P27448","ENSG00000075413"
1220,"MELK","Q14680","ENSG00000165304"
1221,"MINK1","Q8N4C8","ENSG00000141503"
1222,"MKNK1","Q9BUB5","ENSG00000079277"
1223,"MKNK2","Q9HBH9","ENSG00000099875"
1227,"NEK9","Q8TD19","ENSG00000119638"
1228,"NRBP1","Q9UHY1","ENSG00000115216"
1229,"OXSR1","O95747","ENSG00000172939"
1230,"PAK4","O96013","ENSG00000130669"
1231,"PASK","Q96RG2","ENSG00000115687"
1232,"PBK","Q96KB5","ENSG00000168078"
1233,"STRN3","Q13033","ENSG00000196792"
1234,"PDPK1","O15530","ENSG00000140992"
1235,"PHKG2","P15735","ENSG00000156873"
1239,"PKN1","Q16512","ENSG00000123143"
1240,"PKN2","Q16513","ENSG00000065243"
1242,"PLK1","P53350","ENSG00000166851"
1244,"PRKAA1","Q13131","ENSG00000132356"
1245,"PRKACA","P17612","ENSG00000072062"
1246,"PRKCD","Q05655","ENSG00000163932"
1247,"PRKCI","P41743","ENSG00000163558"
1249,"PRKD2","Q9BZL6","ENSG00000105287"
1251,"PRKDC","P78527","ENSG00000253729"
1252,"PRPF4B","Q13523","ENSG00000112739"
1253,"PTK2","Q05397","ENSG00000169398"
1254,"PTK7","Q13308","ENSG00000112655"
1255,"RAF1","P04049","ENSG00000132155"
1256,"RIOK1","Q9BRS2","ENSG00000124784"
1257,"RIOK2","Q9BVS4","ENSG00000058729"
1258,"RIOK3","O14730","ENSG00000101782"
1259,"ROCK1","Q13464","ENSG00000067900"
1261,"RPS6KA1","Q15418","ENSG00000281877"
1262,"RPS6KA3","P51812","ENSG00000177189"
1263,"PTMA","P06454","ENSG00000187514"
1264,"RPS6KA4","O75676","ENSG00000162302"
1265,"TPT1","P13693","ENSG00000133112"
1266,"RPS6KB1","P23443","ENSG00000108443"
1269,"SCYL1","Q96KG9","ENSG00000142186"
1270,"SCYL2","Q6P3W7","ENSG00000136021"
1271,"SLK","Q9H2G2","ENSG00000065613"
1274,"SRPK2","P78362","ENSG00000135250"
1275,"STK11","Q15831","ENSG00000118046"
1277,"STK24","Q9Y6E0","ENSG00000102572"
1278,"STK25","O00506","ENSG00000115694"
1279,"STK26","Q9P289","ENSG00000134602"
1281,"STK38L","Q9Y2H1","ENSG00000211455"
1282,"STK4","Q13043","ENSG00000101109"
1287,"TAOK1","Q7L7X3","ENSG00000160551"
1288,"TAOK2","Q9UL54","ENSG00000149930"
1290,"TLK2","Q86UE8","ENSG00000146872"
1291,"TRIM24","O15164","ENSG00000122779"
1292,"TRIM28","Q13263","ENSG00000130726"
1293,"TRIM33","Q9UPN9","ENSG00000197323"
1294,"TRRAP","Q9Y4A5","ENSG00000196367"
1295,"TTK","P33981","ENSG00000112742"
1300,"ULK1","O75385","ENSG00000177169"
1301,"ULK3","Q6PHR2","ENSG00000140474"
1302,"VRK2","Q86Y07","ENSG00000028116"
1303,"VRK3","Q8IV63","ENSG00000105053"
2,"ACTB","P60709","ENSG00000075624"
3,"AHSA1","O95433","ENSG00000100591"
7,"BAG4","O95429","ENSG00000156735"
9,"BAG6","P46379","ENSG00000229524"
10,"CDC37","Q16543","ENSG00000105401"
11,"DNAJA1","P31689","ENSG00000086061"
12,"DNAJA2","O60884","ENSG00000069345"
14,"DNAJB1","P25685","ENSG00000132002"
17,"DNAJB2","P25686","ENSG00000135924"
18,"DNAJB4","Q9UDY4","ENSG00000162616"
20,"DNAJB6","O75190","ENSG00000105993"
22,"DNAJC11","Q9NVH1","ENSG00000007923"
24,"DNAJC13","O75165","ENSG00000138246"
26,"DNAJC17","Q9NVM6","ENSG00000104129"
27,"DNAJC18","Q9H819","ENSG00000170464"
28,"DNAJC2","Q99543","ENSG00000105821"
30,"DNAJC24","Q6P3W2","ENSG00000170946"
34,"DNAJC5","Q9H3Z4","ENSG00000101152"
36,"DNAJC7","Q99615","ENSG00000168259"
37,"DNAJC8","O75937","ENSG00000285317"
38,"DNAJC9","Q8WXX5","ENSG00000213551"
39,"HSF1","Q00613","ENSG00000185122"
41,"HSP90AA1","P07900","ENSG00000080824"
42,"HSP90AB1","P08238","ENSG00000096384"
44,"HSPA12A","O43301","ENSG00000165868"
45,"HSPA14","Q0VDF9","ENSG00000187522"
46,"HSPA1B","P0DMV9","ENSG00000231555"
47,"HSPA4","P34932","ENSG00000170606"
48,"HSPA4L","O95757","ENSG00000164070"
49,"HSPA8","P11142","ENSG00000109971"
50,"HSPB1","P04792","ENSG00000106211"
51,"HSPB11","Q9Y547","ENSG00000081870"
52,"HSPBP1","Q9NZL4","ENSG00000133265"
53,"HSPH1","Q92598","ENSG00000120694"
54,"STIP1","P31948","ENSG00000168439"
55,"NEDD1","Q8NHV4","ENSG00000139350"
59,"SQSTM1","Q13501","ENSG00000161011"
61,"WWP1","Q9H0M0","ENSG00000123124"
64,"BTF3","P20290","ENSG00000145741"
65,"G3BP1","Q13283","ENSG00000145907"
66,"G3BP2","Q9UN86","ENSG00000138757"
67,"CHMP3","Q9Y3E7","ENSG00000115561"
68,"CHMP6","Q96FZ7","ENSG00000176108"
69,"PDCD6IP","Q8WUM4","ENSG00000170248"
1305,"WNK1","Q9H4A3","ENSG00000060237"
1307,"YES1","P07947","ENSG00000176105"
1310,"SLC11A2","P49281","ENSG00000110911"
1312,"SLC16A1","P53985","ENSG00000281917"
1313,"SLC16A10","Q8TF71","ENSG00000112394"
1314,"SLC16A2","P36021","ENSG00000147100"
1315,"SLC18B1","Q6NT16","ENSG00000146409"
1316,"SLC19A1","P41440","ENSG00000173638"
1317,"SLC1A3","P43003","ENSG00000079215"
1318,"SLC1A5","Q15758","ENSG00000105281"
1321,"SLC26A6","Q9BXS9","ENSG00000225697"
1322,"SLC27A4","Q6P1M0","ENSG00000167114"
1326,"SLC2A1","P11166","ENSG00000117394"
1328,"SLC2A8","Q9NY64","ENSG00000136856"
1329,"SLC30A5","Q8TAD4","ENSG00000145740"
1331,"SLC31A1","O15431","ENSG00000136868"
1332,"SLC33A1","O00400","ENSG00000169359"
1337,"SLC35B1","P78383","ENSG00000121073"
1339,"SLC35B4","Q969S0","ENSG00000205060"
1341,"SLC35E1","Q96K37","ENSG00000127526"
1343,"SLC35F2","Q8IXU6","ENSG00000110660"
1346,"SLC37A3","Q8NCC5","ENSG00000157800"
1347,"SLC37A4","O43826","ENSG00000281500"
1365,"SLC44A2","Q8IWA5","ENSG00000129353"
1370,"SLC5A6","Q9Y289","ENSG00000138074"
1371,"SLC6A15","Q9H2J7","ENSG00000072041"
1373,"SLC7A5","Q01650","ENSG00000103257"
1374,"SLC7A6","Q92536","ENSG00000103064"
1375,"SLC9A3R1","O14745","ENSG00000109062"
1376,"SLC9A3R2","Q15599","ENSG00000065054"
1377,"SLC23A2","Q9UGH3","ENSG00000089057"
1380,"SLC46A1","Q96NT5","ENSG00000076351"
1382,"SLC15A4","Q8N697","ENSG00000139370"
1384,"ANKRD10","Q9NXR5","ENSG00000088448"
1385,"ANKRD11","Q6UB99","ENSG00000167522"
1386,"ANKRD17","O75179","ENSG00000132466"
1389,"ANKRD40","Q6AI12","ENSG00000154945"
1391,"ANKRD52","Q8NB46","ENSG00000139645"
1392,"ANKRD28","O15084","ENSG00000206560"
1394,"ANKRD46","Q86W74","ENSG00000186106"
1396,"ANKRD13A","Q8IZ07","ENSG00000076513"
1397,"ANKRD13C","Q8N6S4","ENSG00000118454"
1398,"ANKZF1","Q9H8Y5","ENSG00000163516"
1399,"ANKRD27","Q96NW4","ENSG00000105186"
1401,"ANKRD39","Q53RE8","ENSG00000213337"
1406,"DYNC1I2","Q13409","ENSG00000077380"
1407,"DYNC1LI1","Q9Y6G9","ENSG00000144635"
1408,"DYNC1LI2","O43237","ENSG00000135720"
1410,"DYNC2LI1","Q8TCX1","ENSG00000138036"
1411,"DYNLL1","P63167","ENSG00000088986"
1412,"DYNLL2","Q96FJ2","ENSG00000264364"
1413,"KIF11","P52732","ENSG00000138160"
1415,"KIF1B","O60333","ENSG00000054523"
1416,"KIFBP","Q96EK5","ENSG00000198954"
1420,"KIF22","Q14807","ENSG00000079616"
1422,"KIF2A","O00139","ENSG00000068796"
1423,"KIF3A","Q9Y496","ENSG00000131437"
1424,"KIF3B","O15066","ENSG00000101350"
1425,"KIF4A","O95239","ENSG00000090889"
1426,"KIF5B","P33176","ENSG00000170759"
1427,"KIF7","Q2M1P5","ENSG00000166813"
1428,"KIFAP3","Q92845","ENSG00000075945"
1429,"KIFC1","Q9BW19","ENSG00000204197"
1431,"KLC1","Q07866","ENSG00000126214"
1432,"KLC2","Q9H0B6","ENSG00000174996"
1434,"KLC4","Q9NSK0","ENSG00000137171"
1435,"MYH10","P35580","ENSG00000133026"
1436,"MYL12A","P19105","ENSG00000101608"
1437,"MYL6","P60660","ENSG00000092841"
1438,"MYL6B","P14649","ENSG00000196465"
1439,"MYO19","Q96H55","ENSG00000278259"
1440,"MYO1B","O43795","ENSG00000128641"
1441,"MYO1C","O00159","ENSG00000197879"
1442,"MYO6","Q9UM54","ENSG00000196586"
1443,"UPF1","Q92900","ENSG00000005007"
1444,"SF3A1","Q15459","ENSG00000099995"
1445,"SF3A2","Q15428","ENSG00000104897"
1446,"SF3A3","Q12874","ENSG00000183431"
1447,"SF3B1","O75533","ENSG00000115524"
1448,"SF3B2","Q13435","ENSG00000087365"
1449,"SF3B3","Q15393","ENSG00000189091"
1451,"SF3B5","Q9BWJ5","ENSG00000169976"
1452,"SF3B6","Q9Y3B4","ENSG00000115128"
1453,"SNRPA","P09012","ENSG00000077312"
1456,"SNRPB2","P08579","ENSG00000125870"
1457,"SNRPC","P09234","ENSG00000124562"
1459,"SNRPD2","P62316","ENSG00000125743"
1461,"SNRPF","P62306","ENSG00000139343"
1463,"SNRNP40","Q96DI7","ENSG00000060688"
1464,"PRPF8","Q6P2Q9","ENSG00000274442"
1466,"PRMT9","Q6P2P2","ENSG00000164169"
1467,"RBM10","P98175","ENSG00000182872"
1468,"RBM12","Q9NTZ6","ENSG00000244462"
1469,"RBM12B","Q8IXT5","ENSG00000183808"
1470,"RBM14","Q96PK6","ENSG00000239306"
1472,"RBM15B","Q8NDT2","ENSG00000259956"
1473,"RBM17","Q96I25","ENSG00000134453"
1475,"RBM19","Q9Y4C8","ENSG00000122965"
1476,"RBM22","Q9NW64","ENSG00000086589"
1478,"RBM25","P49756","ENSG00000119707"
1480,"RBM3","P98179","ENSG00000102317"
1481,"RBM33","Q96EV2","ENSG00000184863"
1482,"RBM34","P42696","ENSG00000188739"
1483,"RBM38","Q9H0Z9","ENSG00000132819"
1484,"RBM39","Q14498","ENSG00000131051"
1485,"RBM4","Q9BWF3","ENSG00000173933"
1486,"RBM41","Q96IZ5","ENSG00000089682"
1487,"RBM42","Q9BTD8","ENSG00000126254"
1488,"VPS35","Q96QK1","ENSG00000069329"
1489,"RBM5","P52756","ENSG00000003756"
1490,"RBM6","P78332","ENSG00000004534"
1491,"RBM7","Q9Y580","ENSG00000076053"
1492,"RBM8A","Q9Y5S9","ENSG00000265241"
1493,"NONO","Q15233","ENSG00000147140"
1494,"ZCCHC7","Q8N3Z6","ENSG00000147905"
1498,"TMPO","P42167","ENSG00000120802"
1499,"HDAC1","Q13547","ENSG00000116478"
1500,"HDAC2","Q92769","ENSG00000196591"
1501,"HDAC3","O15379","ENSG00000171720"
1502,"MECP2","P51608","ENSG00000169057"
1503,"CKAP2","Q8WWK9","ENSG00000136108"
1504,"KIF2C","Q99661","ENSG00000142945"
1505,"CLASP1","Q7Z460","ENSG00000074054"
1506,"CLASP2","O75122","ENSG00000163539"
1507,"NCKAP5L","Q9HCH0","ENSG00000167566"
1509,"ATXN2L","Q8WWM7","ENSG00000168488"
1510,"RTCB","Q9Y3I0","ENSG00000100220"
1511,"CAPRIN1","Q14444","ENSG00000135387"
1512,"FAM120A","Q9NZB2","ENSG00000048828"
1513,"FXR1","P51114","ENSG00000114416"
1514,"FXR2","P51116","ENSG00000129245"
1515,"IGF2BP1","Q9NZI8","ENSG00000159217"
1516,"IGF2BP3","O00425","ENSG00000136231"
1517,"NUFIP2","Q7Z417","ENSG00000108256"
1518,"USP10","Q14694","ENSG00000103194"
1519,"MMGT1","Q8N4V1","ENSG00000169446"
1521,"REEP2","Q9BRK0","ENSG00000132563"
1523,"REEP4","Q9H6H4","ENSG00000168476"
1524,"REEP5","Q00765","ENSG00000129625"
1525,"REEP6","Q96HR9","ENSG00000115255"
1527,"LEMD2","Q8NC56","ENSG00000161904"
1528,"LEMD3","Q9Y2U8","ENSG00000174106"
1529,"BANF1","O75531","ENSG00000175334"
1531,"CKAP4","Q07065","ENSG00000136026"
1532,"CKAP5","Q14008","ENSG00000175216"
1533,"NCK2","O43639","ENSG00000071051"
1534,"CTBP1","Q13363","ENSG00000159692"
1535,"CTBP2","P56545","ENSG00000175029"
1537,"GORASP2","Q9H8Y8","ENSG00000115806"
1538,"HMGN5","P82970","ENSG00000198157"
1541,"TOR1AIP1","Q5JTV8","ENSG00000143337"
1542,"CNN2","Q99439","ENSG00000064666"
1543,"AKAP8L","Q9ULX6","ENSG00000011243"
1544,"CKB","P12277","ENSG00000166165"
1545,"DNM1L","O00429","ENSG00000087470"
1548,"SYNE3","Q6ZMZ3","ENSG00000176438"
1550,"CSE1L","P55060","ENSG00000124207"
