ensg_id,target_name,annotation_name,annotation_grade
ENSG00000163468,CCT3,cytoplasmic,3
ENSG00000163468,CCT3,nucleoplasm,2
ENSG00000115484,CCT4,cytoplasmic,3
ENSG00000115484,CCT4,nucleoplasm,2
ENSG00000150753,CCT5,cytoplasmic,3
ENSG00000150753,CCT5,nucleoplasm,2
ENSG00000146731,CCT6A,cytoplasmic,3
ENSG00000146731,CCT6A,nucleoplasm,2
ENSG00000135624,CCT7,cytoplasmic,3
ENSG00000135624,CCT7,nucleoplasm,3
ENSG00000135624,CCT7,big_aggregates,1
ENSG00000156261,CCT8,cytoplasmic,3
ENSG00000156261,CCT8,nucleoplasm,3
ENSG00000146574,CCZ1B,cytoplasmic,3
ENSG00000146574,CCZ1B,nucleoplasm,3
ENSG00000146574,CCZ1B,vesicles,2
ENSG00000177697,CD151,membrane,3
ENSG00000177697,CD151,vesicles,3
ENSG00000169217,CD2BP2,nucleoplasm,3
ENSG00000169217,CD2BP2,nuclear_punctae,2
ENSG00000135404,CD63,vesicles,3
ENSG00000110651,CD81,membrane,3
ENSG00000110651,CD81,vesicles,3
ENSG00000110651,CD81,cell_contact,2
ENSG00000010278,CD9,membrane,3
ENSG00000010278,CD9,vesicles,3
ENSG00000130177,CDC16,cytoplasmic,3
ENSG00000130177,CDC16,nucleoplasm,3
ENSG00000130177,CDC16,cytoskeleton,2
ENSG00000117399,CDC20,nucleoplasm,3
ENSG00000117399,CDC20,cytoplasmic,1
ENSG00000117399,CDC20,nuclear_punctae,1
ENSG00000094880,CDC23,cytoskeleton,3
ENSG00000094880,CDC23,cytoplasmic,2
ENSG00000094880,CDC23,nucleoplasm,2
ENSG00000176386,CDC26,cytoplasmic,3
ENSG00000176386,CDC26,nucleoplasm,3
ENSG00000004897,CDC27,cytoplasmic,3
ENSG00000004897,CDC27,nucleoplasm,3
ENSG00000105401,CDC37,cytoplasmic,3
ENSG00000105401,CDC37,nucleoplasm,2
ENSG00000070831,CDC42,cytoplasmic,3
ENSG00000070831,CDC42,membrane,3
ENSG00000070831,CDC42,cytoskeleton,1
ENSG00000070831,CDC42,nucleoplasm,1
ENSG00000198752,CDC42BPB,membrane,3
ENSG00000198752,CDC42BPB,nucleoplasm,1
ENSG00000097046,CDC7,nucleoplasm,3
ENSG00000097046,CDC7,nuclear_punctae,2
ENSG00000097046,CDC7,nucleolus_fc_dfc,1
ENSG00000170558,CDH2,cell_contact,3
ENSG00000170558,CDH2,membrane,3
ENSG00000103502,CDIPT,er,3
ENSG00000103502,CDIPT,vesicles,3
ENSG00000103502,CDIPT,golgi,2
ENSG00000170312,CDK1,centrosome,3
ENSG00000170312,CDK1,cytoplasmic,3
ENSG00000170312,CDK1,nucleoplasm,3
ENSG00000170312,CDK1,cytoskeleton,2
ENSG00000248333,CDK11B,nucleoplasm,3
ENSG00000248333,CDK11B,chromatin,2
ENSG00000167258,CDK12,nucleoplasm,3
ENSG00000167258,CDK12,chromatin,2
ENSG00000167258,CDK12,nuclear_punctae,2
ENSG00000065883,CDK13,chromatin,2
ENSG00000065883,CDK13,nucleoplasm,2
ENSG00000123374,CDK2,nucleoplasm,3
ENSG00000123374,CDK2,cytoplasmic,1
ENSG00000123374,CDK2,nuclear_punctae,1
ENSG00000135446,CDK4,cytoplasmic,3
ENSG00000135446,CDK4,nucleoplasm,3
ENSG00000164885,CDK5,cytoplasmic,3
ENSG00000164885,CDK5,nucleoplasm,3
ENSG00000134058,CDK7,nucleoplasm,3
ENSG00000134058,CDK7,nuclear_punctae,2
ENSG00000134058,CDK7,nucleolus_fc_dfc,1
ENSG00000136807,CDK9,nucleoplasm,3
