,target,prey
2658968,ACTG1,ABI1
2659003,ACTG1,INF2
2659020,ACTG1,WIPF3
2659038,ACTG1,SPTBN1
2659055,ACTG1,ENAH
2659172,ACTG1,ARHGAP27
2659176,ACTG1,SRCAP
2659185,ACTG1,ARID1B
2659190,ACTG1,COBLL1
2659193,ACTG1,GATAD2B
2659232,ACTG1,TMOD2
2659266,ACTG1,MTFR1
2659287,ACTG1,FAM21A
2659366,ACTG1,PHACTR2
2659375,ACTG1,MAP3K4
2659380,ACTG1,SMARCD2
2659382,ACTG1,BCL7C
2659386,ACTG1,SPIRE1
2659432,ACTG1,DCTN5
2659446,ACTG1,CAPZA1
2659450,ACTG1,CAP2
2659463,ACTG1,DCTN1;DKFZP686E0752
2659471,ACTG1,CYFIP2
2659473,ACTG1,ADD1
2659591,ACTG1,CCDC53
2659668,ACTG1,BCL7B
2659682,ACTG1,UNNAMED
2659740,ACTG1,ARPC5L
2659777,ACTG1,CCT7
2659818,ACTG1,PDCL3
2659841,ACTG1,CSRP2BP
2659918,ACTG1,FMNL2
2659927,ACTG1,WASF1
2659950,ACTG1,SMARCC1
2659963,ACTG1,DPF2
2659978,ACTG1,CKAP2
2659985,ACTG1,DLG5
2660001,ACTG1,FBXO30
2660002,ACTG1,SMARCC2
2660018,ACTG1,BRK1
2660020,ACTG1,SPIRE2
2660030,ACTG1,WHAMM;WHAMMP3
2660049,ACTG1,PRR11
2660058,ACTG1,SMARCD1
2660087,ACTG1,EP400
2660116,ACTG1,SMARCE1
2660166,ACTG1,BAIAP2
2660170,ACTG1,WASF3
2660203,ACTG1,NCKAP1
2660208,ACTG1,CFL2
2660214,ACTG1,MKL2
2660246,ACTG1,PACSIN2
2660275,ACTG1,WASF2
2660277,ACTG1,SCIN
2660284,ACTG1,DYNC1LI1
2660291,ACTG1,LRRFIP2
2660292,ACTG1,MRFAP1
2660389,ACTG1,DCTN4
2660432,ACTG1,GPHN
2660509,ACTG1,TUBGCP4
2660512,ACTG1,ADD3
2660551,ACTG1,EVL
2660553,ACTG1,BAIAP2L1
2660568,ACTG1,FMN2
2660569,ACTG1,ACTR10
2660601,ACTG1,KIAA1522
2660618,ACTG1,NCKIPSD
2660633,ACTG1,DYNC1I2
2660662,ACTG1,SPTAN1
2660673,ACTG1,DCTN2
2660684,ACTG1,FLII
2660734,ACTG1,SMARCB1
2660738,ACTG1,TWF1
2660870,ACTG1,ACTR1A
2660881,ACTG1,GMFB
2660980,ACTG1,CAP1
2661081,ACTG1,CCT2
