,target,prey,ensg_id,prey_ensg,plex,huri,Hein
162,ACTG1,CCT4,ENSG00000184009,ENSG00000115484,False,False,False
163,ACTG1,CCT8,ENSG00000184009,ENSG00000156261,False,False,False
164,ACTG1,VASP,ENSG00000184009,ENSG00000125753,False,False,False
165,ACTG1,SMARCA4,ENSG00000184009,ENSG00000127616,False,False,False
166,ACTG1,CCT3,ENSG00000184009,ENSG00000163468,False,False,False
167,ACTG1,CCT5,ENSG00000184009,ENSG00000150753,False,False,False
168,ACTG1,CAPZB,ENSG00000184009,ENSG00000077549,False,False,False
169,ACTG1,CAPZA2,ENSG00000184009,ENSG00000198898,False,False,True
170,ACTG1,ALAS1,ENSG00000184009,ENSG00000023330,False,False,False
171,ACTG1,PFN1,ENSG00000184009,ENSG00000108518,False,False,False
172,ACTG1,CFL1,ENSG00000184009,ENSG00000172757,False,True,False
173,ACTG1,STOM,ENSG00000184009,ENSG00000148175,False,False,False
174,ACTG1,TMOD1,ENSG00000184009,ENSG00000136842,False,False,False
175,ACTG1,TCP1,ENSG00000184009,ENSG00000120438,False,False,False
176,ACTG1,TMEM11,ENSG00000184009,ENSG00000178307,False,False,False
177,ACTG1,WIPF2,ENSG00000184009,ENSG00000171475,False,False,False
178,ACTG1,ARHGAP32,ENSG00000184009,ENSG00000134909,False,False,False
179,ACTG1,MKL1;MKL1,ENSG00000184009,ENSG00000196588,False,False,False
180,ACTG1,SPATS2L,ENSG00000184009,ENSG00000196141,False,False,False
181,ACTG1,PXK,ENSG00000184009,ENSG00000168297,False,False,False
182,ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P,ENSG00000184009,ENSG00000181404,False,False,False
183,ABI2,ACTG1,ENSG00000184009,ENSG00000138443,False,False,False
184,ABI1,ACTG1,ENSG00000184009,ENSG00000136754,False,False,False
185,ACTG1,INF2,ENSG00000184009,ENSG00000203485,False,False,False
186,ACTG1,WIPF3,ENSG00000184009,ENSG00000122574,False,False,False
187,ACTG1,SPTBN1,ENSG00000184009,,False,False,False
188,ACTG1,ENAH,ENSG00000184009,ENSG00000154380,False,False,False
189,ACTG1,ARHGAP27,ENSG00000184009,ENSG00000276836,False,False,False
190,ACTG1,SRCAP,ENSG00000184009,ENSG00000080603,False,False,False
191,ACTG1,ARID1B,ENSG00000184009,ENSG00000049618,False,False,False
192,ACTG1,COBLL1,ENSG00000184009,ENSG00000082438,False,False,False
193,ACTG1,GATAD2B,ENSG00000184009,ENSG00000143614,False,False,False
194,ACTG1,TMOD2,ENSG00000184009,ENSG00000128872,False,False,False
