in_cluster_gene_name,mcl_community_id,core_cluster_id,module_id,branch_id,uniprot_id
PRXL2A,17,NULL,M13,B,Q9BRX8
ILVBL,17,NULL,M13,B,A1L0T0
DHRS7,17,NULL,M13,B,Q9Y394
LCLAT1,17,NULL,M13,B,Q6UWP7
GDPD1,17,NULL,M13,B,Q8N9F7
SACM1L,17,NULL,M13,B,Q9NTJ5
HSD17B11,17,NULL,M13,B,Q8NBQ5
PLAGL1,18,NULL,M18,C,Q68DN7
TMPO,18,17,M18,C,P42167
C4ORF32,18,17,M18,C,Q8N8J7
TOR1AIP1,18,NULL,M18,C,Q5JTV8
SIX2,18,NULL,M18,C,Q9NPC8
YTHDF3,18,NULL,M18,C,Q7Z739
EMD,18,17,M18,C,P50402
APBB1,18,NULL,M18,C,O00213
STAU2,18,NULL,M18,C,Q9NUL3
SIX1,18,NULL,M18,C,Q15475
RNF10,18,NULL,M18,C,Q8N5U6
SMG7,18,NULL,M18,C,Q92540
PHF8,18,NULL,M18,C,Q9UPP1
MYBL2,18,NULL,M18,C,P10244
PACRGL,18,NULL,M18,C,Q8N7B6
DNAJB12,18,NULL,M18,C,Q9NXW2
FAM50B,18,NULL,M18,C,Q9Y247
TONSL,18,NULL,M18,C,Q96HA7
PLAGL1,18,NULL,M18,C,Q9UM63
LIN54,18,NULL,M18,C,Q6MZP7
ZC3HAV1,18,NULL,M18,C,Q7Z2W4
LIN52,18,NULL,M18,C,Q52LA3
OST4,18,NULL,M18,C,P0C6T2
RAB5A,18,NULL,M18,C,P20339
NSG1,18,NULL,M18,C,P42857
EIF2AK3,18,NULL,M18,C,Q9NZJ5
RAB5C,18,NULL,M18,C,P51148
NFXL1,18,NULL,M18,C,Q6ZNB6
RAB5B,18,NULL,M18,C,P61020
MLEC,18,17,M18,C,Q14165
TIA1,18,17,M18,C,P31483
DSG2,18,NULL,M18,C,Q14126
DIRAS2,18,NULL,M18,C,Q96HU8
VRK2,18,NULL,M18,C,Q86Y07
DIRAS1,18,NULL,M18,C,O95057
STT3B,18,18,M18,C,Q8TCJ2
TMEM43,18,17,M18,C,Q9BTV4
SCD,18,NULL,M18,C,O00767
KRTCAP2,18,17,M18,C,Q8N6L1
JUP,18,NULL,M18,C,P14923
TUSC3,18,18,M18,C,Q13454
POR,18,17,M18,C,P16435
RPN1,18,17,M18,C,P04843
DDOST,18,17,M18,C,P39656
DAD1,18,17,M18,C,P61803
MAGT1,18,17,M18,C,Q9H0U3
RPN2,18,17,M18,C,P04844
STT3A,18,17,M18,C,P46977
ATRX,19,NULL,M02,A,P46100
ZCCHC8,19,19,M02,A,Q6NZY4
SSRP1,19,19,M02,A,Q08945
SUPT16H,19,19,M02,A,Q9Y5B9
EIF4A3,19,19,M02,A,P38919
MMS22L,19,NULL,M02,A,Q6ZRQ5
SLAIN2,20,NULL,M06,A,Q9P270
TACC2,20,NULL,M06,A,O95359
ZC2HC1A,20,NULL,M06,A,Q96GY0
TACC3,20,20,M06,A,Q9Y6A5
TACC1,20,NULL,M06,A,O75410
SLAIN1,20,NULL,M06,A,Q8ND83
DLGAP5,20,NULL,M06,A,Q15398
CKAP5,20,20,M06,A,Q14008
DNAJA1,20,20,M06,A,P31689
CEP97,20,NULL,M06,A,Q8IW35
KIF14,20,NULL,M06,A,Q15058
TCP11L2,20,NULL,M06,A,Q8N4U5
TCP11L1,20,NULL,M06,A,Q9NUJ3
TUBB2B,20,NULL,M06,A,Q9BVA1
TUBB4B,20,20,M06,A,P68371
TUBA1B,20,20,M06,A,P68363
SNRPA1,21,21,M14,C,P09661
SNRPB2,21,21,M14,C,P08579
THRAP3,21,NULL,M14,C,Q9Y2W1
PCNP,21,21,M14,C,Q8WW12
PPP4R2,21,21,M14,C,Q9NY27
HTATSF1,21,21,M14,C,O43719
SF3B2,21,21,M14,C,Q13435
ATXN7L2,21,NULL,M14,C,Q5T6C5
SF3A2,21,21,M14,C,Q15428
ZRSR2,21,NULL,M14,C,Q15696
SCNM1,21,NULL,M14,C,Q9BWG6
SLC4A1AP,21,21,M14,C,Q9BWU0
SF3B4,21,21,M14,C,Q15427
ZCRB1,21,NULL,M14,C,Q8TBF4
SF3A1,21,21,M14,C,Q15459
CCDC97,21,21,M14,C,Q96F63
DNAJC8,21,21,M14,C,O75937
DDX42,21,21,M14,C,Q86XP3
RBM5,21,NULL,M14,C,P52756
SNRPD1,21,21,M14,C,P62314
SF3B1,21,21,M14,C,O75533
SF3B5,21,21,M14,C,Q9BWJ5
PPP4R3A,21,21,M14,C,Q6IN85
SF3A3,21,21,M14,C,Q12874
RAB3IP,21,NULL,M14,C,Q96QF0
TTC33,21,21,M14,C,Q6PID6
SF3B6,21,21,M14,C,Q9Y3B4
P4HA1,21,21,M14,C,P13674
SNRNP25,21,NULL,M14,C,Q9BV90
SNRNP25,21,NULL,M14,C,Q9BV90
PPP4C,21,21,M14,C,P60510
SF3B3,21,21,M14,C,Q15393
WDR61,21,21,M14,C,Q9GZS3
CEP43,22,NULL,M06,A,O95684
PDCD5,22,22,M06,A,O14737
IGKC,22,NULL,M06,A,P01834
IGBP1,22,NULL,M06,A,P78318
ZNRD2,22,22,M06,A,O60232
RC3H2,22,NULL,M06,A,Q9HBD1
PDCL,22,NULL,M06,A,Q13371
WDR55,22,NULL,M06,A,Q9H6Y2
PPP2R5D,22,22,M06,A,Q14738
TXNDC9,22,22,M06,A,O14530
CCT3,22,22,M06,A,P49368
MSTO1,22,NULL,M06,A,Q9BUK6
CCT4,22,22,M06,A,P50991
PPP2CB,22,22,M06,A,P62714
PPP2CA,22,22,M06,A,P67775
TCP1,22,22,M06,A,P17987
CCT8,22,22,M06,A,P50990
CCT5,22,22,M06,A,P48643
CCT7,22,22,M06,A,Q99832
CCT2,22,22,M06,A,P78371
CCT6A,22,22,M06,A,P40227
PPP2R1B,22,22,M06,A,P30154
TUBD1,22,NULL,M06,A,Q9UJT1
PPP2R1A,22,22,M06,A,P30153
BDP1,23,NULL,M04,A,A6H8Y1
POLR1D,23,23,M04,A,P0DPB5
POLR1G,23,23,M04,A,O15446
POLR3G,23,23,M04,A,O15318
POLR3GL,23,23,M04,A,Q9BT43
POLR3D,23,23,M04,A,P05423
URI1,23,23,M04,A,O94763
POLR1F,23,NULL,M04,A,Q3B726
POLR2F,23,23,M04,A,P61218
CRCP,23,23,M04,A,O75575
MAF1,23,23,M04,A,Q9H063
RPAP3,23,23,M04,A,Q9H6T3
POLR3E,23,23,M04,A,Q9NVU0
PIH1D1,23,23,M04,A,Q9NWS0
TRMT1L,23,23,M04,A,Q7Z2T5
POLR3H,23,23,M04,A,Q9Y535
PDRG1,23,23,M04,A,Q9NUG6
POLR2E,23,23,M04,A,P19388
POLR3C,23,23,M04,A,Q9BUI4
DNAAF10,23,NULL,M04,A,Q8ND98
POLR2H,23,23,M04,A,P52434
POLR1A,23,23,M04,A,O95602
POLR3K,23,23,M04,A,Q9Y2Y1
POLR1E,23,23,M04,A,Q9GZS1
UXT,23,23,M04,A,Q9UBK9
POLR3F,23,23,M04,A,Q9H1D9
WDR92,23,NULL,M04,A,Q96MX6
POLR1C,23,23,M04,A,O15160
POLR2L,23,23,M04,A,P62875
POLR3B,23,23,M04,A,Q9NW08
POLR3A,23,23,M04,A,O14802
ASNSD1,23,23,M04,A,Q9NWL6
POLR1B,23,23,M04,A,Q9H9Y6
FMN2,24,NULL,M06,A,Q9NZ56
MTFR1,24,NULL,M06,A,Q15390
CAP1,24,24,M06,A,Q01518
FMNL2,24,NULL,M06,A,Q96PY5
TWF2,24,24,M06,A,Q6IBS0
PFN1,24,24,M06,A,P07737
PFN2,24,24,M06,A,P35080
ACTG1,24,24,M06,A,P63261
MED19,25,25,M04,A,A0JLT2
MED26,25,25,M04,A,O95402
MED1,25,25,M04,A,Q15648
MED9,25,25,M04,A,Q9NWA0
FBXL19,25,25,M04,A,Q6PCT2
MED15,25,25,M04,A,Q96RN5
MED29,25,25,M04,A,Q9NX70
MED29,25,25,M04,A,Q9NX70
MED8,25,25,M04,A,Q96G25
MED25,25,25,M04,A,Q71SY5
CDK19,25,25,M04,A,Q9BWU1
MED4,25,25,M04,A,Q9NPJ6
JMJD6,25,25,M04,A,Q6NYC1
MED6,25,25,M04,A,O75586
MED13L,25,NULL,M04,A,Q71F56
MED28,25,25,M04,A,Q9H204
MED12,25,25,M04,A,Q93074
MED12,25,25,M04,A,Q93074
CDK8,25,25,M04,A,P49336
MED7,25,25,M04,A,O43513
MED22,25,25,M04,A,Q15528
MED13,25,25,M04,A,Q9UHV7
MED30,25,25,M04,A,Q96HR3
MED12L,25,25,M04,A,Q86YW9
MED21,25,25,M04,A,Q13503
MED14,25,25,M04,A,O60244
PRDX1,25,NULL,M04,A,Q06830
MED11,25,25,M04,A,Q9P086
MED10,25,25,M04,A,Q9BTT4
MED17,25,25,M04,A,Q9NVC6
MED31,25,25,M04,A,Q9Y3C7
CCNC,25,25,M04,A,P24863
MED27,25,25,M04,A,Q6P2C8
MED16,25,25,M04,A,Q9Y2X0
MED20,25,25,M04,A,Q9H944
MED24,25,25,M04,A,O75448
MED23,25,25,M04,A,Q9ULK4
CBX1,26,NULL,M01,A,P83916
CBX3,26,NULL,M01,A,Q13185
CSNK2A3,27,NULL,M01,A,Q8NEV1
CSNK2A1,27,NULL,M01,A,P68400
MIF,27,NULL,M01,A,P14174
TMED7-TICAM2,28,26,M13,B,NA
GORASP2,28,26,M13,B,Q9H8Y8
GOLGA2,28,26,M13,B,Q08379
BLZF1,28,NULL,M13,B,Q9H2G9
MAN1A1,28,NULL,M13,B,P33908
GALNT2,28,NULL,M13,B,Q10471
TMED10,28,27,M13,B,P49755
TMED1,28,27,M13,B,Q13445
TMED7,28,26,M13,B,Q9Y3B3
SLC30A6,28,NULL,M13,B,Q6NXT4
TMED9,28,27,M13,B,Q9BVK6
TMED4,28,27,M13,B,Q7Z7H5
ZDHHC3,28,NULL,M13,B,Q9NYG2
UBIAD1,28,NULL,M13,B,Q9Y5Z9
TMED2,28,27,M13,B,Q15363
SLC30A5,28,NULL,M13,B,Q8TAD4
SEC22A,28,NULL,M13,B,Q96IW7
STEAP3,28,NULL,M13,B,Q658P3
ATP2C1,28,NULL,M13,B,P98194
SURF4,28,NULL,M13,B,O15260
B4GAT1,28,NULL,M13,B,O43505
FAM241A,29,NULL,M04,A,#N/A
POLR2M,29,NULL,M04,A,P0CAP2
GTF2F1,29,28,M04,A,P35269
INTS12,29,NULL,M04,A,Q96CB8
CTDP1,29,28,M04,A,Q9Y5B0
NELFA,29,28,M04,A,Q9H3P2
POLR2A,29,28,M04,A,P24928
METTL3,29,28,M04,A,Q86U44
POLR2D,29,28,M04,A,O15514
POLR2C,29,28,M04,A,P19387
GTF2F2,29,28,M04,A,P13984
RPAP1,29,28,M04,A,Q9BWH6
GPN1,29,28,M04,A,Q9HCN4
POLR2I,29,28,M04,A,P36954
GTF2B,29,28,M04,A,Q00403
POLR2J,29,28,M04,A,P52435
POLR2J3,29,28,M04,A,Q9H1A7
POLR2J2,29,28,M04,A,Q9GZM3
POLR2B,29,28,M04,A,P30876
POLR2G,29,28,M04,A,P62487
GPN2,29,28,M04,A,Q9H9Y4
INTS11,29,NULL,M04,A,Q5TA45
DNAJC9,30,NULL,M09,A,Q8WXX5
DNAJB4,30,NULL,M09,A,Q9UDY4
HSPA4,30,NULL,M09,A,P34932
HSPA8,30,NULL,M09,A,P11142
UQCRB,31,NULL,M06,A,P14927
LONP1,31,NULL,M06,A,P36776
HEATR3,31,NULL,M06,A,Q7Z4Q2
ESD,31,NULL,M06,A,P10768
RBX1,32,NULL,M16,C,P62877
DDB1,32,NULL,M16,C,Q16531
MAX,33,29,M14,C,P61244
VPS72,33,29,M14,C,Q15906
TAF10,33,29,M14,C,Q12962
MYC,33,29,M14,C,P01106
TADA3,33,29,M14,C,O75528
TAF9,33,29,M14,C,Q16594
EP400,33,29,M14,C,Q96L91
ING3,33,29,M14,C,Q9NXR8
SUPT7L,33,29,M14,C,O94864
SUPT20H,33,29,M14,C,Q8NEM7
MORF4L1,33,29,M14,C,Q9UBU8
TAF12,33,29,M14,C,Q16514
TAF6L,33,29,M14,C,Q9Y6J9
KAT2A,33,29,M14,C,Q92830
KAT2B,33,29,M14,C,Q92831
SGF29,33,29,M14,C,Q96ES7
TADA1,33,29,M14,C,Q96BN2
TADA2B,33,29,M14,C,Q86TJ2
SUPT3H,33,29,M14,C,O75486
TAF5L,33,29,M14,C,O75529
TRRAP,33,29,M14,C,Q9Y4A5
NUP35,34,NULL,M03,A,Q8NFH5
RANBP1,34,30,M03,A,P43487
NUP42,34,NULL,M03,A,O15504
SUMO1,34,30,M03,A,P63165
NUP58,34,NULL,M03,A,Q9BVL2
NUP54,34,NULL,M03,A,Q7Z3B4
RCC1,34,30,M03,A,P18754
RAN,34,30,M03,A,P62826
NUP155,34,NULL,M03,A,O75694
NUTF2,34,30,M03,A,P61970
IPO9,34,NULL,M03,A,Q96P70
IPO4,34,NULL,M03,A,Q8TEX9
NUP37,34,NULL,M03,A,Q8NFH4
NUP205,34,NULL,M03,A,Q92621
PRRC2A,35,31,M17,C,P48634
EIF3A,35,31,M17,C,Q14152
EIF4G1,35,31,M17,C,Q04637
EIF3J,35,31,M17,C,O75822
EIF3G,35,31,M17,C,O75821
RPS26P11,35,31,M17,C,Q5JNZ5
PDCD4,35,31,M17,C,Q53EL6
EIF3B,35,31,M17,C,P55884
EIF3F,35,31,M17,C,O00303
EIF3H,35,31,M17,C,O15372
PABPC3,35,31,M17,C,Q9H361
EIF3D,35,31,M17,C,O15371
EIF3I,35,31,M17,C,Q13347
ABCE1,35,31,M17,C,P61221
EIF3E,35,31,M17,C,P60228
EIF3K,35,31,M17,C,Q9UBQ5
EIF3M,35,31,M17,C,Q7L2H7
EIF3L,35,31,M17,C,Q9Y262
ASCC3,35,31,M17,C,Q8N3C0
COMMD3-BMI1,36,32,M14,C,NA
DENND10P1,36,32,M14,C,Q6NSW5
RBMX2,36,32,M14,C,Q9Y388
CWF19L2,36,32,M14,C,Q2TBE0
BMI1,36,32,M14,C,P35226
CCDC93,36,32,M14,C,Q567U6
COMMD6,36,32,M14,C,Q7Z4G1
CCDC22,36,32,M14,C,O60826
COMMD1,36,32,M14,C,Q8N668
COMMD3,36,32,M14,C,Q9UBI1
COMMD5,36,32,M14,C,Q9GZQ3
COMMD9,36,32,M14,C,Q9P000
VPS35L,36,32,M14,C,Q7Z3J2
COMMD10,36,32,M14,C,Q9Y6G5
COMMD4,36,32,M14,C,Q9H0A8
COMMD2,36,32,M14,C,Q86X83
COMMD7,36,32,M14,C,Q86VX2
COMMD8,36,32,M14,C,Q9NX08
VPS26C,36,32,M14,C,O14972
DENND10,36,32,M14,C,Q8TCE6
VPS29,36,32,M14,C,Q9UBQ0
CPSF6,37,33,M14,C,Q16630
CPSF7,37,33,M14,C,Q8N684
RBM26,37,NULL,M14,C,Q5T8P6
SRPK2,37,NULL,M14,C,P78362
P3H1,37,33,M14,C,Q32P28
NUDT21,37,33,M14,C,O43809
CRTAP,37,33,M14,C,O75718
NOP14,38,NULL,M17,C,P78316
EMG1,38,NULL,M17,C,Q92979
NOC4L,38,NULL,M17,C,Q9BVI4
IPO5,38,NULL,M17,C,O00410
MAP7D3,39,NULL,M08,A,Q8IWC1
ZNF536,39,NULL,M08,A,O15090
DMAP1,39,NULL,M08,A,Q9NPF5
CAMKK1,39,NULL,M08,A,Q8N5S9
RCAN1,39,NULL,M08,A,P53805
ARHGAP19,39,NULL,M08,A,Q14CB8
SCO1,39,NULL,M08,A,O75880
CALM2,39,NULL,M08,A,P0DP24
CALM3,39,NULL,M08,A,P0DP25
CEP290,39,NULL,M08,A,O15078
DDX55,39,NULL,M08,A,Q8NHQ9
TIGD1,39,NULL,M08,A,Q96MW7
PPP3CC,39,NULL,M08,A,P48454
NCBP3,40,NULL,M14,C,Q53F19
C2ORF49,40,NULL,M14,C,Q9BVC5
SARNP,40,NULL,M14,C,P82979
C19ORF47,40,NULL,M14,C,Q8N9M1
FAM98A,40,34,M14,C,Q8NCA5
ZFC3H1,40,NULL,M14,C,O60293
FAM98B,40,34,M14,C,Q52LJ0
FYTTD1,40,NULL,M14,C,Q96QD9
THOC1,40,NULL,M14,C,Q96FV9
CDC40,40,NULL,M14,C,O60508
THOC7,40,NULL,M14,C,Q6I9Y2
THOC7,40,NULL,M14,C,Q6I9Y2
API5,40,NULL,M14,C,Q9BZZ5
AQR,40,NULL,M14,C,O60306
RTRAF,40,34,M14,C,Q9Y224
DDX1,40,34,M14,C,Q92499
DDX39B,40,34,M14,C,Q13838
RTCB,40,34,M14,C,Q9Y3I0
CDC26,41,35,M01,A,Q8NHZ8
ANAPC13,41,35,M01,A,Q9BS18
FHOD3,41,NULL,M01,A,Q2V2M9
ANAPC16,41,35,M01,A,Q96DE5
FZR1,41,35,M01,A,Q9UM11
CDC20,41,35,M01,A,Q12834
ANAPC10,41,35,M01,A,Q9UM13
CDC27,41,35,M01,A,P30260
BUB1B,41,35,M01,A,O60566
FBXO5,41,NULL,M01,A,Q9UKT4
KIF18A,41,NULL,M01,A,Q8NI77
ANAPC2,41,35,M01,A,Q9UJX6
NEK2,41,35,M01,A,P51955
ANAPC7,41,35,M01,A,Q9UJX3
BUB3,41,NULL,M01,A,O43684
PYCR1,41,NULL,M01,A,P32322
ANAPC1,41,35,M01,A,Q9H1A4
DEPDC1B,41,NULL,M01,A,Q8WUY9
PYCR2,41,35,M01,A,Q96C36
CDC16,41,35,M01,A,Q13042
ANAPC4,41,35,M01,A,Q9UJX5
CDC23,41,35,M01,A,Q9UJX2
ANAPC5,41,35,M01,A,Q9UJX4
KIAA1522,42,36,M06,A,Q9P206
NHSL1,42,NULL,M06,A,Q5SYE7
NHSL2,42,NULL,M06,A,Q5HYW2
WASF3,42,36,M06,A,Q9UPY6
WASF2,42,36,M06,A,Q9Y6W5
ABI2,42,NULL,M06,A,Q9NYB9
WASF1,42,36,M06,A,Q92558
ABI1,42,37,M06,A,Q8IZP0
ABL1,42,NULL,M06,A,P00519
CSNK1G3,42,NULL,M06,A,Q9Y6M4
BRK1,42,36,M06,A,Q8WUW1
MECR,42,NULL,M06,A,Q9BV79
SLC1A3,42,37,M06,A,P43003
CYFIP1,42,36,M06,A,Q7L576
NCKAP1,42,36,M06,A,Q9Y2A7
CYFIP2,42,36,M06,A,Q96F07
BCL7A,43,38,M03,A,Q4VC05
SS18,43,38,M03,A,Q15532
ARID1A,43,38,M03,A,O14497
ARID1B,43,38,M03,A,Q8NFD5
SS18L1,43,NULL,M03,A,O75177
BICRA,43,NULL,M03,A,Q9NZM4
SMARCE1,43,38,M03,A,Q969G3
SMARCC2,43,38,M03,A,Q8TAQ2
DPF2,43,38,M03,A,Q92785
SMARCA4,43,38,M03,A,P51532
SMARCC1,43,38,M03,A,Q92922
BRD9,43,38,M03,A,Q9H8M2
SMARCA2,43,38,M03,A,P51531
DPF3,43,NULL,M03,A,Q92784
SMARCD3,43,38,M03,A,Q6STE5
SMARCD2,43,38,M03,A,Q92925
SMARCD1,43,38,M03,A,Q96GM5
DPF1,43,38,M03,A,Q92782
SMARCB1,43,38,M03,A,Q12824
ACTL6A,43,38,M03,A,O96019
PTGES3,44,39,M09,A,Q15185
USP19,44,NULL,M09,A,O94966
HSP90AA1,44,39,M09,A,P07900
HSP90AB1,44,39,M09,A,P08238
FKBP4,44,39,M09,A,Q02790
PTDSS2,44,NULL,M09,A,Q9BVG9
BRCA2,44,NULL,M09,A,P51587
PPP5C,44,NULL,M09,A,P53041
RTN4,45,41,M13,B,Q9NQC3
RTN3,45,41,M13,B,O95197
CYB5B,45,41,M13,B,O43169
REEP5,45,41,M13,B,Q00765
ENDOD1,45,41,M13,B,O94919
ATL2,45,40,M13,B,Q8NHH9
ATL3,45,40,M13,B,Q6DD88
ATL1,45,NULL,M13,B,Q8WXF7
LAMP1,46,42,M12,B,P11279
RAB7A,46,42,M12,B,P51149
SLC18B1,46,42,M12,B,Q6NT16
CIP2A,46,NULL,M12,B,Q8TCG1
SSB,47,43,M16,C,P05455
PUS7,47,43,M16,C,Q96PZ0
GTF3A,47,43,M16,C,Q92664
STRBP,48,NULL,M08,A,Q96SI9
ARHGDIA,48,44,M08,A,P52565
RHOC,48,44,M08,A,P08134
RHOA,48,44,M08,A,P61586
RHOG,48,NULL,M08,A,P84095
RAC3,48,NULL,M08,A,P60763
IQGAP2,48,NULL,M08,A,Q13576
RAC1,48,44,M08,A,P63000
RAP1GDS1,48,NULL,M08,A,P52306
CEP170,49,45,M06,A,Q5SW79
MAP4,49,45,M06,A,P27816
KIF2A,49,45,M06,A,O00139
SSBP1,49,45,M06,A,Q04837
ARPC4-TTLL3,50,46,M07,A,NA
CHURC1-FNTB,50,NULL,M07,A,NA
CRTC2,50,NULL,M07,A,Q53ET0
MNDA,50,NULL,M07,A,P41218
ARL6IP6,50,NULL,M07,A,Q8N6S5
ARPC5,50,46,M07,A,O15511
ARPC5L,50,46,M07,A,Q9BPX5
ARPC3,50,46,M07,A,O15145
CHURC1,50,NULL,M07,A,Q8WUH1
ARPC2,50,46,M07,A,O15144
USP22,50,46,M07,A,Q9UPT9
ARPC1B,50,46,M07,A,O15143
ARPC1A,50,46,M07,A,Q92747
ACTR3,50,46,M07,A,P61158
ARPC4,50,46,M07,A,P59998
ACTR3B,50,NULL,M07,A,Q9P1U1
ACTR2,50,46,M07,A,P61160
ATP6V1G1,51,47,M12,B,O75348
RAB11A,51,47,M12,B,P62491
RAB11B,51,47,M12,B,Q15907
DMXL2,51,NULL,M12,B,Q8TDJ6
DMXL1,51,NULL,M12,B,Q9Y485
WDR7,51,47,M12,B,Q9Y4E6
ATP6V1D,51,47,M12,B,Q9Y5K8
ATP6V1E1,51,47,M12,B,P36543
ATP6V1B2,51,47,M12,B,P21281
SLC35F2,51,NULL,M12,B,Q8IXU6
ATP6V1A,51,47,M12,B,P38606
ATP6V1H,51,47,M12,B,Q9UI12
ATP6V0C,51,47,M12,B,P27449
ATP6V0A1,51,47,M12,B,Q93050
ROGDI,51,NULL,M12,B,Q9GZN7
VAMP7,51,47,M12,B,P51809
ATP6V1C1,51,47,M12,B,P21283
ATP6AP2,51,47,M12,B,O75787
ATP6AP1,51,47,M12,B,Q15904
ATP6V0D1,51,47,M12,B,P61421
FTSJ3,52,NULL,M17,C,Q8IY81
FAM207A,52,48,M17,C,Q9NSI2
UTP14A,52,48,M17,C,Q9BVJ6
LTV1,52,48,M17,C,Q96GA3
DDX10,52,NULL,M17,C,Q13206
PNO1,52,48,M17,C,Q9NRX1
NOB1,52,48,M17,C,Q9ULX3
BYSL,52,48,M17,C,Q13895
DHX37,52,49,M17,C,Q8IY37
TSR1,52,48,M17,C,Q2NL82
USP16,52,NULL,M17,C,Q9Y5T5
RIOK2,52,48,M17,C,Q9BVS4
RRP12,52,48,M17,C,Q5JTH9
RIOK3,52,48,M17,C,O14730
PARN,52,49,M17,C,O95453
DIMT1,52,NULL,M17,C,Q9UNQ2
C9ORF78,53,NULL,M14,C,Q9NZ63
CD2BP2,53,50,M14,C,O95400
EAPP,53,50,M14,C,Q56P03
DDX23,53,50,M14,C,Q9BUQ8
ECD,53,NULL,M14,C,O95905
PRPF6,53,50,M14,C,O94906
USP39,53,50,M14,C,Q53GS9
PRPF4,53,50,M14,C,O43172
SNRNP40,53,50,M14,C,Q96DI7
EFTUD2,53,50,M14,C,Q15029
TXNL4A,53,50,M14,C,P83876
AAR2,53,50,M14,C,Q9Y312
SNRNP200,53,50,M14,C,O75643
PRPF8,53,50,M14,C,Q6P2Q9
CSE1L,53,50,M14,C,P55060
DKFZP434D199,54,51,M14,C,NA
ZC3H18,54,51,M14,C,Q86VM9
PNN,54,51,M14,C,Q9H307
RBM6,54,NULL,M14,C,P78332
PRPF4B,54,51,M14,C,Q13523
SNW1,54,51,M14,C,Q13573
SART1,54,51,M14,C,O43290
CHTOP,54,51,M14,C,Q9Y3Y2
PRPF3,54,51,M14,C,O43395
LSM7,54,51,M14,C,Q9UK45
LSM5,54,51,M14,C,Q9Y4Y9
CTTNBP2,55,NULL,M06,A,Q8WZ74
STRN4,55,52,M06,A,Q9NRL3
STRN3,55,52,M06,A,Q13033
STK25,55,52,M06,A,O00506
STRN,55,52,M06,A,O43815
GNG2,55,NULL,M06,A,P59768
STK24,55,52,M06,A,Q9Y6E0
SLMAP,55,NULL,M06,A,Q14BN4
STK26,55,52,M06,A,Q9P289
SIKE1,55,NULL,M06,A,Q9BRV8
FGFR1OP2,55,NULL,M06,A,Q9NVK5
STRIP2,55,NULL,M06,A,Q9ULQ0
PDCD10,55,52,M06,A,Q9BUL8
IFT74,56,53,M09,A,Q96LB3
IFT22,56,53,M09,A,Q9H7X7
HSPB11,56,53,M09,A,Q9Y547
IFT81,56,53,M09,A,Q8WYA0
IFT52,56,53,M09,A,Q9Y366
TTC30B,56,53,M09,A,Q8N4P2
IFT20,56,53,M09,A,Q8IY31
TTC30A,56,53,M09,A,Q86WT1
IFT27,56,53,M09,A,Q9BW83
TTC26,56,53,M09,A,A0AVF1
IFT172,56,53,M09,A,Q9UG01
YBX1,57,54,M15,C,P67809
KHDRBS1,57,55,M15,C,Q07666
HNRNPAB,57,54,M15,C,Q99729
HNRNPD,57,55,M15,C,Q14103
HNRNPK,57,55,M15,C,P61978
DDX21,57,54,M15,C,Q9NR30
HNRNPR,57,54,M15,C,O43390
HNRNPL,57,55,M15,C,P14866
SYNCRIP,57,54,M15,C,O60506
DDX17,57,54,M15,C,Q92841
FAM120A,57,NULL,M15,C,Q9NZB2
ADAR,57,NULL,M15,C,P55265
ZNF346,57,NULL,M15,C,Q9UL40
C1QBP,57,54,M15,C,Q07021
IGF2BP2,57,NULL,M15,C,Q9Y6M1
DHX9,57,54,M15,C,Q08211
RBM25,58,57,M07,A,P49756
PRPF40A,58,57,M07,A,O75400
MARK2,58,56,M07,A,Q7KZI7
MARK4,58,NULL,M07,A,Q96L34
MARK3,58,56,M07,A,P27448
PBK,58,NULL,M07,A,Q96KB5
ATP6V1G2-DDX39B,59,58,M12,B,NA
ATP6V1G2,59,58,M12,B,O95670
NOP56,59,58,M12,B,O00567
VIM,59,58,M12,B,P08670
SNAP23,60,59,M12,B,O00161
VAMP8,60,59,M12,B,Q9BV40
STX7,60,59,M12,B,O15400
VAMP3,60,60,M12,B,Q15836
PTTG1IP,60,59,M12,B,P53801
RAB14,61,61,M12,B,P61106
CHML,61,NULL,M12,B,P26374
RAB35,61,61,M12,B,Q15286
RAB4A,61,61,M12,B,P20338
GDI2,61,61,M12,B,P50395
BIVM-ERCC5,62,NULL,M08,A,NA
ERCC5-201,62,NULL,M08,A,NA
XPC,62,62,M08,A,Q01831
ERCC5,62,NULL,M08,A,P28715
ERCC1,62,62,M08,A,P07992
XPA,62,62,M08,A,P23025
ERCC3,62,62,M08,A,P19447
CDC7,62,62,M08,A,O00311
ERCC4,62,62,M08,A,Q92889
GTF2H1,62,62,M08,A,P32780
PREB,62,62,M08,A,Q9HCU5
MNAT1,62,62,M08,A,P51948
CCNH,62,62,M08,A,P51946
GTF2H2C,62,62,M08,A,Q6P1K8
CDK7,62,62,M08,A,P50613
GTF2H5,62,62,M08,A,Q6ZYL4
GTF2H3,62,62,M08,A,Q13889
GTF2H4,62,62,M08,A,Q92759
ERCC2,62,62,M08,A,P18074
OSBP,63,NULL,M13,B,P22059
VAPB,63,NULL,M13,B,O95292
CISD2,63,NULL,M13,B,Q8N5K1
RBM39,64,63,M14,C,Q14498
PCBP2,64,63,M14,C,Q15366
PCBP1,64,63,M14,C,Q15365
CAMSAP3,65,NULL,M07,A,Q9P1Y5
TRAPPC12,65,64,M07,A,Q8WVT3
