"__mclCluster","name","selected","shared name"
"6","GSTM3;GSTM2;GSTM5","false","GSTM3;GSTM2;GSTM5"
"6","ADSL","false","ADSL"
"6","C21ORF33","false","C21ORF33"
"6","UCHL1","false","UCHL1"
"6","HINT1","false","HINT1"
"6","UBA6","false","UBA6"
"6","TKT","false","TKT"
"6","PRDX5","false","PRDX5"
"6","TARS","false","TARS"
"6","ASNS","false","ASNS"
"6","ACADSB","false","ACADSB"
"6","NAMPT","false","NAMPT"
"6","GMPS","false","GMPS"
"6","MPI","false","MPI"
"6","S100A11","false","S100A11"
"40","MAT2A","false","MAT2A"
"6","PGM1","false","PGM1"
"6","PRMT3","false","PRMT3"
"136","SNX2","false","SNX2"
"6","CALU","false","CALU"
"6","VAT1","false","VAT1"
"6","UBE2C","false","UBE2C"
"6","TXNDC12","false","TXNDC12"
"6","SAR1B","false","SAR1B"
"313","UBA2","false","UBA2"
"45","RTN1","false","RTN1"
"45","SOGA3","false","SOGA3"
"45","HADH","false","HADH"
"45","PTPN1","false","PTPN1"
"45","ATP5C1","false","ATP5C1"
"45","CYB5B","false","CYB5B"
"45","LRCH4","false","LRCH4"
"39","FAM98B","false","FAM98B"
"39","EPN3","false","EPN3"
"75","RRAS2","false","RRAS2"
"314","TMA16","false","TMA16"
"314","RPS6KB2","false","RPS6KB2"
"402","RPS6KB1","false","RPS6KB1"
"315","RPS6KA4","false","RPS6KA4"
"4","RPS6KA3","false","RPS6KA3"
"4","ROCK2","false","ROCK2"
"4","RPS6KA1","false","RPS6KA1"
"1","CENPQ","false","CENPQ"
"1","HBS1L","false","HBS1L"
"1","EXOSC1","false","EXOSC1"
"1","HOXD13","false","HOXD13"
"103","RPP25L","false","RPP25L"
"103","TRIM39-RPP21;RPP21","false","TRIM39-RPP21;RPP21"
"103","RPP14","false","RPP14"
"316","CRAMP1L","false","CRAMP1L"
"98","SPEN","false","SPEN"
"152","RND3","false","RND3"
"154","RNASEH2B","false","RNASEH2B"
"317","TBC1D10B","false","TBC1D10B"
"317","DDX31","false","DDX31"
"403","MAPKAP1","false","MAPKAP1"
"119","RHOQ","false","RHOQ"
"48","RHOG","false","RHOG"
"48","SMAP2","false","SMAP2"
"48","RHOA","false","RHOA"
"250","CRELD1","false","CRELD1"
"91","IER3IP1","false","IER3IP1"
"213","NFKBIE","false","NFKBIE"
"45","REEP6","false","REEP6"
"318","RBSN","false","RBSN"
"138","RBMX","false","RBMX"
"1","WIBG","false","WIBG"
"404","RBM4","false","RBM4"
"20","TTC33","false","TTC33"
"64","CSNK2B;CSNK2B-LY6G5B-1181","false","CSNK2B;CSNK2B-LY6G5B-1181"
"64","FNBP4","false","FNBP4"
"64","MRPS11","false","MRPS11"
"314","MRPS15","false","MRPS15"
"64","PCBP1","false","PCBP1"
"16","TRIM26","false","TRIM26"
"64","POLK","false","POLK"
"64","MRPS24","false","MRPS24"
"64","CHCHD1","false","CHCHD1"
"181","ZMAT2","false","ZMAT2"
"64","MRS2","false","MRS2"
"64","N4BP2L2","false","N4BP2L2"
"64","UQCRFS1","false","UQCRFS1"
"138","BUD31","false","BUD31"
"405","RBM38;RBM24","false","RBM38;RBM24"
"405","RBM38","false","RBM38"
"214","RBM3","false","RBM3"
"251","RBM23","false","RBM23"
"189","C19ORF43","false","C19ORF43"
,"RBM15B","false","RBM15B"
"319","GPRASP2","false","GPRASP2"
"319","TCF25","false","TCF25"
"76","SSBP3;SSBP2;SSBP4","false","SSBP3;SSBP2;SSBP4"
"8","HNRNPC;HNRNPCL3;HNRNPCL2;HNRNPCL1;HNRNPCL4","false","HNRNPC;HNRNPCL3;HNRNPCL2;HNRNPCL1;HNRNPCL4"
"98","WAC","false","WAC"
"7","ZNF512B","false","ZNF512B"
"7","LIN9","false","LIN9"
"150","RANBP3","false","RANBP3"
"150","RANGRF","false","RANGRF"
"104","YPEL5","false","YPEL5"
"104","MAEA","false","MAEA"
"104","RMND5A","false","RMND5A"
"104","MKLN1","false","MKLN1"
"104","GID4","false","GID4"
"104","RANBP10","false","RANBP10"
"33","SCLY","false","SCLY"
"33","MRPL9","false","MRPL9"
"33","FEZ2;DKFZP779C2259","false","FEZ2;DKFZP779C2259"
"33","MRPL10","false","MRPL10"
"33","GLE1","false","GLE1"
"150","SPATA5","false","SPATA5"
"33","CCDC43","false","CCDC43"
"33","SQLE","false","SQLE"
"33","RGPD1;RGPD2","false","RGPD1;RGPD2"
"4","GRSF1","false","GRSF1"
"150","SUMO3;SUMO2;SUMO4","false","SUMO3;SUMO2;SUMO4"
"33","RGPD8","false","RGPD8"
"190","REPS2","false","REPS2"
"139","RAD9A","false","RAD9A"
"310","STAG2","false","STAG2"
"133","WAPAL","false","WAPAL"
"133","SMC3","false","SMC3"
"1","TP53INP2","false","TP53INP2"
"1","EIF4E2","false","EIF4E2"
"52","RIOK3","false","RIOK3"
"103","POP7","false","POP7"
"6","APEH","false","APEH"
"5","DAP","false","DAP"
"1","HELZ","false","HELZ"
"1","RACK1","false","RACK1"
"48","UBTF","false","UBTF"
"48","RAC3","false","RAC3"
"48","MCU","false","MCU"
"48","DSG4","false","DSG4"
"48","ARHGDIA","false","ARHGDIA"
"48","ARHGDIG","false","ARHGDIG"
"48","COX6C","false","COX6C"
"45","COX5B","false","COX5B"
"320","RABIF","false","RABIF"
"155","PTAR1","false","PTAR1"
"155","RAP2C;RAP2A","false","RAP2C;RAP2A"
"155","RABGGTB","false","RABGGTB"
"406","RABGAP1L","false","RABGAP1L"
"406","RABGAP1","false","RABGAP1"
"407","RABGEF1","false","RABGEF1"
"407","RABEP1","false","RABEP1"
"156","SPG21","false","SPG21"
"83","CLCN5","false","CLCN5"
"61","CNN2","false","CNN2"
"252","RAB3D","false","RAB3D"
"91","RAB2B","false","RAB2B"
"5","CNP","false","CNP"
"91","PANK4","false","PANK4"
"91","YIF1B","false","YIF1B"
"157","GOLGA5","false","GOLGA5"
"66","TM9SF4","false","TM9SF4"
"61","UHRF1BP1","false","UHRF1BP1"
"61","CHML","false","CHML"
"59","ATP6V1G1;ATP6V1G2-DDX39B;ATP6V1G2","false","ATP6V1G1;ATP6V1G2-DDX39B;ATP6V1G2"
"59","EVI5","false","EVI5"
"60","VAMP8","false","VAMP8"
"59","GPRC5C","false","GPRC5C"
"59","ATP11A;ATP11B","false","ATP11A;ATP11B"
"321","TKFC;DAK","false","TKFC;DAK"
"322","TM9SF2","false","TM9SF2"
"59","CISD1","false","CISD1"
"6","BZW1","false","BZW1"
"59","RAB11FIP1","false","RAB11FIP1"
"66","WDFY1","false","WDFY1"
"59","RAB11A","false","RAB11A"
"44","SCCPDH","false","SCCPDH"
"44","RTEL1;RTEL1-TNFRSF6B","false","RTEL1;RTEL1-TNFRSF6B"
"44","IFT122","false","IFT122"
"44","44M2.3;LOC81691","false","44M2.3;LOC81691"
"44","EGLN1","false","EGLN1"
"44","PPP2R5C;PPP2R5D","false","PPP2R5C;PPP2R5D"
"44","KIFBP","false","KIFBP"
"44","MAGED4B;MAGED4","false","MAGED4B;MAGED4"
"44","PTDSS2","false","PTDSS2"
,"PTDSS1","false","PTDSS1"
"1","PROSER1","false","PROSER1"
"1","DLG1","false","DLG1"
"6","UFM1","false","UFM1"
"44","PDCD2","false","PDCD2"
"1","ZAK","false","ZAK"
"1","BTF3L4","false","BTF3L4"
"6","UBA5","false","UBA5"
