,uniprot,gene_name,go_annot
335,P30876,POLR2B,GO:0000398 GO:0000398 GO:0003677 GO:0003682 GO:0003723 GO:0003723 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016020 GO:0016070 GO:0032549 GO:0035019 GO:0042795 GO:0046872 GO:0050434 GO:0060964 GO:0000784 GO:0005665 GO:0003899
336,P19387,POLR2C,GO:0000398 GO:0000398 GO:0003677 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005829 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0015630 GO:0016070 GO:0035019 GO:0042795 GO:0046983 GO:0050434 GO:0060964 GO:0005665 GO:0003899
337,O15514,POLR2D,GO:0000166 GO:0000398 GO:0000398 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005665 GO:0005829 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016070 GO:0016607 GO:0035019 GO:0042795 GO:0050434 GO:0060964 GO:0003899 GO:0031369 GO:0003899 GO:0000932 GO:0003697 GO:0005665 GO:0034402 GO:0031990 GO:0045948 GO:0003727 GO:0000288 GO:0006367
338,P19388,POLR2E,GO:0000398 GO:0000398 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005829 GO:0006283 GO:0006351 GO:0006361 GO:0006361 GO:0006362 GO:0006363 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016032 GO:0016070 GO:0032481 GO:0035019 GO:0042795 GO:0045815 GO:0050434 GO:0060964 GO:0005736 GO:0005665 GO:0003899 GO:0005666
339,P61218,POLR2F,GO:0000398 GO:0000398 GO:0001650 GO:0003677 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005829 GO:0006283 GO:0006351 GO:0006361 GO:0006361 GO:0006362 GO:0006363 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016070 GO:0032481 GO:0035019 GO:0042795 GO:0045815 GO:0050434 GO:0060964 GO:0005736 GO:0005665 GO:0003899 GO:0005666
340,P62487,POLR2G,GO:0000398 GO:0000398 GO:0003899 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0006915 GO:0008543 GO:0016070 GO:0035019 GO:0042795 GO:0050434 GO:0060964 GO:0000932 GO:0003697 GO:0045948 GO:0005665 GO:0031369 GO:0006367 GO:0003727 GO:0000291 GO:0003899 GO:0060213
341,P52434,POLR2H,GO:0000398 GO:0000398 GO:0003697 GO:0003899 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005829 GO:0006283 GO:0006351 GO:0006361 GO:0006361 GO:0006362 GO:0006363 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016070 GO:0032481 GO:0032993 GO:0035019 GO:0042795 GO:0045815 GO:0050434 GO:0060964 GO:0005736 GO:0005666 GO:0005665
342,P36954,POLR2I,GO:0000398 GO:0000398 GO:0003676 GO:0003899 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0005730 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0006379 GO:0008270 GO:0008543 GO:0016070 GO:0035019 GO:0042795 GO:0050434 GO:0060964 GO:0005665 GO:0001193 GO:0006283 GO:0003899 GO:0006367
343,P52435,POLR2J,GO:0000398 GO:0000398 GO:0001055 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005665 GO:0006283 GO:0006351 GO:0006366 GO:0006366 GO:0006367 GO:0006367 GO:0006368 GO:0006368 GO:0006368 GO:0006368 GO:0006370 GO:0008543 GO:0016070 GO:0030275 GO:0035019 GO:0042795 GO:0046983 GO:0050434 GO:0060964 GO:0005665 GO:0003899
344,Q99961,SH3GL1,GO:0002102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005829 GO:0007165 GO:0007417 GO:0008022 GO:0008289 GO:0016191 GO:0017124 GO:0019902 GO:0031697 GO:0031901 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042995 GO:0044325 GO:0045296 GO:0051020 GO:0098685 GO:0098686 GO:0098793 GO:0098815 GO:0098978 GO:0099092 GO:1900244
345,Q9Y371,SH3GLB1,GO:0000139 GO:0000421 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005737 GO:0005741 GO:0005829 GO:0006914 GO:0006915 GO:0008289 GO:0010508 GO:0016241 GO:0030496 GO:0031334 GO:0031410 GO:0031647 GO:0032465 GO:0032801 GO:0032991 GO:0034198 GO:0042149 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042803 GO:0045296 GO:0048102 GO:0090148 GO:1903527 GO:1903778 GO:1903955 GO:2000786
346,Q9NR46,SH3GLB2,GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005654 GO:0005737 GO:0005737 GO:0005829 GO:0042802 GO:0042802 GO:0045296
347,Q13596,SNX1,GO:0005154 GO:0005158 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005764 GO:0005768 GO:0005794 GO:0005829 GO:0006886 GO:0010008 GO:0010008 GO:0016020 GO:0030027 GO:0030904 GO:0030905 GO:0030905 GO:0031623 GO:0031901 GO:0031982 GO:0032991 GO:0034498 GO:0035091 GO:0042147 GO:0042147 GO:0042802 GO:0042802 GO:0042803 GO:0043231 GO:0045296 GO:0045732 GO:0046982 GO:0072673 GO:1990459 GO:1990460 GO:0034498 GO:0010008 GO:0005768 GO:0035091
348,Q9Y5W9,SNX11,GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005768 GO:0006886 GO:0016020 GO:0016050 GO:1901981
349,Q9UMY4,SNX12,GO:0005515 GO:0005515 GO:0005515 GO:0005769 GO:0005769 GO:0010629 GO:0010955 GO:0015031 GO:0019899 GO:0030100 GO:0035091 GO:0042177 GO:0051224 GO:2000642 GO:0032266 GO:0034499 GO:0030904 GO:0033157 GO:0032456 GO:0031901
350,Q15036,SNX17,GO:0003279 GO:0005102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005768 GO:0005768 GO:0005769 GO:0005794 GO:0005829 GO:0005829 GO:0006707 GO:0006886 GO:0006898 GO:0007165 GO:0008022 GO:0010008 GO:0016020 GO:0016197 GO:0030100 GO:0030659 GO:0031410 GO:0032456 GO:0032991 GO:0035091 GO:0035904 GO:0043231 GO:0050750 GO:0060976 GO:1990126 GO:0035091 GO:0006886 GO:0005769 GO:1990126
351,O60749,SNX2,GO:0005154 GO:0005158 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005764 GO:0005768 GO:0005829 GO:0005829 GO:0006886 GO:0006897 GO:0010008 GO:0016020 GO:0030027 GO:0030904 GO:0030904 GO:0030905 GO:0030905 GO:0031901 GO:0032991 GO:0042147 GO:0042147 GO:0042802 GO:0042803 GO:0045296 GO:0046982 GO:0072673 GO:1990459 GO:1990460 GO:0034498 GO:0010008 GO:0035091 GO:0005768
352,Q96L92,SNX27,GO:0001770 GO:0001772 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005654 GO:0005768 GO:0005769 GO:0005769 GO:0005829 GO:0006886 GO:0006886 GO:0006886 GO:0006886 GO:0007165 GO:0008333 GO:0016197 GO:0031901 GO:0032266 GO:1990126 GO:1990126 GO:1990126 GO:0030904 GO:0071203 GO:0071203 GO:1990126 GO:0005769 GO:0006886 GO:0035091
353,O60493,SNX3,GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005769 GO:0005769 GO:0005769 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0009617 GO:0010008 GO:0010008 GO:0010314 GO:0010324 GO:0010976 GO:0015031 GO:0016055 GO:0016579 GO:0019903 GO:0022615 GO:0030111 GO:0030136 GO:0031901 GO:0032009 GO:0032266 GO:0042177 GO:0046597 GO:0050765 GO:0051224 GO:0070062 GO:0070273 GO:0070676 GO:0080025 GO:2000642 GO:0030904 GO:0030904 GO:0032266 GO:0031901 GO:0032456 GO:0034499 GO:0033157
354,O95219,SNX4,GO:0005154 GO:0005158 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005868 GO:0005886 GO:0015031 GO:0016020 GO:0031201 GO:0031901 GO:0032456 GO:0032991 GO:0035091 GO:1903595 GO:1990459 GO:1990460
355,Q9Y5X3,SNX5,GO:0001726 GO:0001891 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005829 GO:0005903 GO:0006886 GO:0006907 GO:0007174 GO:0010314 GO:0016241 GO:0030659 GO:0030904 GO:0030905 GO:0031234 GO:0031234 GO:0031313 GO:0031748 GO:0034452 GO:0035091 GO:0035091 GO:0035815 GO:0042147 GO:0042147 GO:0043231 GO:0045296 GO:0045776 GO:0045893 GO:0046628 GO:0048471 GO:0070273 GO:0070685 GO:0080025 GO:0097422 GO:0031901 GO:0006907 GO:0005768 GO:0034452 GO:0042147 GO:0035091
356,Q9UNH6,SNX7,GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0015031 GO:0030659 GO:0035091
