gene_name,ensg_id,,uniprot_id,is_rna_bp,is_dna_bp,is_xna_bp
CORO2B,ENSG00000103647,,Q9UQ03,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CORO6,ENSG00000167549,,Q6QEF8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CORO7,ENSG00000262246,,P57737,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CORT,ENSG00000241563,,O00230,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COTL1,ENSG00000103187,,Q14019,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX10,ENSG00000006695,,Q12887,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX11,ENSG00000166260,,Q9Y6N1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX14,ENSG00000178449,,Q96I36,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX15,ENSG00000014919,,Q7KZN9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX16,ENSG00000133983,,Q9P0S2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX17,ENSG00000138495,,Q14061,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX18,ENSG00000163626,,Q8N8Q8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX19,ENSG00000240230,,Q49B96,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX20,ENSG00000203667,,Q5RI15,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX4I1,ENSG00000131143,,P13073,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX4I2,ENSG00000131055,,Q96KJ9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX5A,ENSG00000178741,,P20674,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX5B,ENSG00000135940,,P10606,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX6A1,ENSG00000111775,,P12074,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX6A2,ENSG00000156885,,Q02221,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX6B1,ENSG00000126267,,P14854,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX6B2,ENSG00000160471,,Q6YFQ2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX6C,ENSG00000164919,,P09669,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX7A1,ENSG00000161281,,P24310,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX7A2L,ENSG00000115944,,O14548,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX7B,ENSG00000131174,,P24311,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX7B2,ENSG00000170516,,Q8TF08,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX7C,ENSG00000127184,,P15954,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX8A,ENSG00000176340,,P10176,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
COX8C,ENSG00000187581,,Q7Z4L0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CP,ENSG00000047457,,P00450,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA1,ENSG00000091704,,P15085,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA2,ENSG00000158516,,P48052,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA3,ENSG00000163751,,P15088,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA4,ENSG00000128510,,Q9UI42,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA5,ENSG00000158525,,Q8WXQ8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPA6,ENSG00000165078,,Q8N4T0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPAMD8,ENSG00000160111,,Q8IZJ3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPB1,ENSG00000153002,,P15086,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPB2,ENSG00000080618,,Q96IY4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPD,ENSG00000108582,,O75976,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPE,ENSG00000109472,,P16870,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPEB1,ENSG00000214575,,Q9BZB8,RNA_BP,NOT_DNA_BP,xNA_BP
CPEB2,ENSG00000137449,,Q7Z5Q1,RNA_BP,NOT_DNA_BP,xNA_BP
CPEB3,ENSG00000107864,,Q8NE35,RNA_BP,NOT_DNA_BP,xNA_BP
CPEB4,ENSG00000113742,,Q17RY0,RNA_BP,NOT_DNA_BP,xNA_BP
CPED1,ENSG00000106034,,A4D0V7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLANE1,ENSG00000197603,,Q9H799,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLANE2,ENSG00000132881,,Q9BU20,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLX1,ENSG00000168993,,O14810,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLX2,ENSG00000145920,,Q6PUV4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLX3,ENSG00000213578,,Q8WVH0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPLX4,ENSG00000166569,,Q7Z7G2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPM,ENSG00000135678,,P14384,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPN1,ENSG00000120054,,P15169,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPN2,ENSG00000178772,,P22792,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE1,ENSG00000214078,,Q99829,NOT_RNA_BP,DNA_BP,xNA_BP
CPNE2,ENSG00000140848,,Q96FN4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE3,ENSG00000085719,,O75131,RNA_BP,NOT_DNA_BP,xNA_BP
CPNE4,ENSG00000196353,,Q96A23,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE5,ENSG00000124772,,Q9HCH3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE6,ENSG00000100884,,O95741,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE7,ENSG00000178773,,Q9UBL6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE8,ENSG00000139117,,Q86YQ8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPNE9,ENSG00000144550,,Q8IYJ1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPO,ENSG00000144410,,Q8IVL8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPOX,ENSG00000080819,,P36551,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPPED1,ENSG00000103381,,Q9BRF8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPQ,ENSG00000104324,,Q9Y646,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPS1,ENSG00000021826,,P31327,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPSF1,ENSG00000071894,,Q10570,RNA_BP,NOT_DNA_BP,xNA_BP
CPSF2,ENSG00000165934,,Q9P2I0,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPSF3,ENSG00000119203,,Q9UKF6,RNA_BP,NOT_DNA_BP,xNA_BP
CPSF4,ENSG00000160917,,O95639,RNA_BP,DNA_BP,xNA_BP
CPSF4L,ENSG00000187959,,A6NMK7,RNA_BP,NOT_DNA_BP,xNA_BP
CPSF6,ENSG00000111605,,Q16630,RNA_BP,NOT_DNA_BP,xNA_BP
CPSF7,ENSG00000149532,,Q8N684,RNA_BP,NOT_DNA_BP,xNA_BP
CPT1A,ENSG00000110090,,P50416,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPT1B,ENSG00000205560,,Q92523,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPT1C,ENSG00000169169,,Q8TCG5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPT2,ENSG00000157184,,P23786,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPTP,ENSG00000224051,,Q5TA50,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPVL,ENSG00000106066,,Q9H3G5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPXCR1,ENSG00000147183,,Q8N123,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPXM1,ENSG00000088882,,Q96SM3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPXM2,ENSG00000121898,,Q8N436,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CPZ,ENSG00000109625,,Q66K79,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CR1,ENSG00000203710,,P17927,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CR1L,ENSG00000197721,,Q2VPA4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CR2,ENSG00000117322,,P20023,NOT_RNA_BP,DNA_BP,xNA_BP
CRABP1,ENSG00000166426,,P29762,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRABP2,ENSG00000143320,,P29373,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRACD,ENSG00000109265,,Q6ZU35,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRACDL,ENSG00000196872,,Q6NV74,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRACR2A,ENSG00000130038,,Q9BSW2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRACR2B,ENSG00000177685,,Q8N4Y2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRADD,ENSG00000169372,,P78560,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRAMP1,ENSG00000007545,,Q96RY5,NOT_RNA_BP,DNA_BP,xNA_BP
CRAT,ENSG00000095321,,P43155,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRB1,ENSG00000134376,,P82279,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRB2,ENSG00000148204,,Q5IJ48,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRB3,ENSG00000130545,,Q9BUF7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRBN,ENSG00000113851,,Q96SW2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRCP,ENSG00000241258,,O75575,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRCT1,ENSG00000169509,,Q9UGL9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CREB1,ENSG00000118260,,P16220,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREB3,ENSG00000107175,,O43889,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREB3L1,ENSG00000157613,,Q96BA8,NOT_RNA_BP,DNA_BP,xNA_BP
CREB3L2,ENSG00000182158,,Q70SY1,NOT_RNA_BP,DNA_BP,xNA_BP
CREB3L3,ENSG00000060566,,Q68CJ9,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREB3L4,ENSG00000143578,,Q8TEY5,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREB5,ENSG00000146592,,Q02930,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREBBP,ENSG00000005339,,Q92793,NOT_RNA_BP,DNA_BP,xNA_BP
CREBL2,ENSG00000111269,,O60519,NOT_RNA_BP,DNA_BP,xNA_BP
CREBRF,ENSG00000164463,,Q8IUR6,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CREBZF,ENSG00000137504,,Q9NS37,NOT_RNA_BP,DNA_BP,xNA_BP
CREG1,ENSG00000143162,,O75629,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CREG2,ENSG00000175874,,Q8IUH2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRELD1,ENSG00000163703,,Q96HD1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRELD2,ENSG00000184164,,Q6UXH1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CREM,ENSG00000095794,,Q03060,NOT_RNA_BP,DNA_BP,xNA_BP
CRH,ENSG00000147571,,P06850,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRHBP,ENSG00000145708,,P24387,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRHR1,ENSG00000120088,,P34998,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRHR2,ENSG00000106113,,Q13324,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRIM1,ENSG00000150938,,Q9NZV1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRIP1,ENSG00000213145,,P50238,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRIP2,ENSG00000182809,,P52943,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRIP3,ENSG00000146215,,Q6Q6R5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRIPT,ENSG00000119878,,Q9P021,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRISP1,ENSG00000124812,,P54107,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRISP2,ENSG00000124490,,P16562,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRISP3,ENSG00000096006,,P54108,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRISPLD1,ENSG00000121005,,Q9H336,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRISPLD2,ENSG00000103196,,Q9H0B8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRK,ENSG00000167193,,P46108,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRKL,ENSG00000099942,,P46109,RNA_BP,NOT_DNA_BP,xNA_BP
CRLF1,ENSG00000006016,,O75462,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRLF2,ENSG00000205755,,Q9HC73,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRLF3,ENSG00000176390,,Q8IUI8,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CRLS1,ENSG00000088766,,Q9UJA2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRMP1,ENSG00000072832,,Q14194,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRNKL1,ENSG00000101343,,Q9BZJ0,RNA_BP,NOT_DNA_BP,xNA_BP
CRNN,ENSG00000143536,,Q9UBG3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CROCC,ENSG00000058453,,Q5TZA2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CROCC2,ENSG00000226321,,H7BZ55,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CROT,ENSG00000005469,,Q9UKG9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRP,ENSG00000132693,,P02741,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRPPA,ENSG00000214960,,A4D126,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTAC1,ENSG00000095713,,Q9NQ79,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTAM,ENSG00000109943,,O95727,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTAP,ENSG00000170275,,O75718,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTC1,ENSG00000105662,,Q6UUV9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTC2,ENSG00000160741,,Q53ET0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRTC3,ENSG00000140577,,Q6UUV7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRX,ENSG00000105392,,O43186,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CRY1,ENSG00000008405,,Q16526,NOT_RNA_BP,DNA_BP,xNA_BP
CRY2,ENSG00000121671,,Q49AN0,NOT_RNA_BP,DNA_BP,xNA_BP
CRYAA,ENSG00000160202,,P02489,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYAA2,ENSG00000276076,,A0A140G945,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYAB,ENSG00000109846,,P02511,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBA1,ENSG00000108255,,P05813,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBA2,ENSG00000163499,,P53672,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBA4,ENSG00000196431,,P53673,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBB1,ENSG00000100122,,P53674,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBB2,ENSG00000244752,,P43320,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBB3,ENSG00000100053,,P26998,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBG1,ENSG00000112297,,Q9Y4K1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBG2,ENSG00000176092,,Q8N1P7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYBG3,ENSG00000080200,,Q68DQ2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGA,ENSG00000168582,,P11844,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGB,ENSG00000182187,,P07316,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGC,ENSG00000163254,,P07315,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGD,ENSG00000118231,,P07320,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGN,ENSG00000127377,,Q8WXF5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYGS,ENSG00000213139,,P22914,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYL1,ENSG00000165475,,Q9Y2S2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYM,ENSG00000103316,,Q14894,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CRYZ,ENSG00000116791,,Q08257,RNA_BP,NOT_DNA_BP,xNA_BP
CRYZL1,ENSG00000205758,,O95825,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CS,ENSG00000062485,,O75390,RNA_BP,NOT_DNA_BP,xNA_BP
CSAD,ENSG00000139631,,Q9Y600,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSAG1,ENSG00000198930,,Q6PB30,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSAG2,ENSG00000268916,,Q9Y5P2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSDC2,ENSG00000172346,,Q9Y534,RNA_BP,NOT_DNA_BP,xNA_BP
CSDE1,ENSG00000009307,,O75534,RNA_BP,DNA_BP,xNA_BP
CSE1L,ENSG00000124207,,P55060,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF1,ENSG00000184371,,P09603,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF1R,ENSG00000182578,,P07333,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF2,ENSG00000164400,,P04141,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF2RA,ENSG00000198223,,P15509,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF2RB,ENSG00000100368,,P32927,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF3,ENSG00000108342,,P09919,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSF3R,ENSG00000119535,,Q99062,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSGALNACT1,ENSG00000147408,,Q8TDX6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSGALNACT2,ENSG00000169826,,Q8N6G5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSH1,ENSG00000136488,,P0DML2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSH2,ENSG00000213218,,P0DML3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSHL1,ENSG00000204414,,Q14406,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSK,ENSG00000103653,,P41240,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSKMT,ENSG00000214756,,A8MUP2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSMD1,ENSG00000183117,,Q96PZ7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSMD2,ENSG00000121904,,Q7Z408,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSMD3,ENSG00000164796,,Q7Z407,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSN1S1,ENSG00000126545,,P47710,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSN2,ENSG00000135222,,P05814,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSN3,ENSG00000171209,,P07498,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1A1,ENSG00000113712,,P48729,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1A1L,ENSG00000180138,,Q8N752,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1D,ENSG00000141551,,P48730,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1E,ENSG00000213923,,P49674,RNA_BP,NOT_DNA_BP,xNA_BP
CSNK1G1,ENSG00000169118,,Q9HCP0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1G2,ENSG00000133275,,P78368,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK1G3,ENSG00000151292,,Q9Y6M4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK2A1,ENSG00000101266,,P68400,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK2A2,ENSG00000070770,,P19784,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK2A3,ENSG00000254598,,Q8NEV1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSNK2B,ENSG00000204435,,P67870,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CSNKA2IP,ENSG00000283434,,A0A1B0GTH6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSPG4,ENSG00000173546,,Q6UVK1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSPG5,ENSG00000114646,,O95196,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSPP1,ENSG00000104218,,Q1MSJ5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSRNP1,ENSG00000144655,,Q96S65,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CSRNP2,ENSG00000110925,,Q9H175,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CSRNP3,ENSG00000178662,,Q8WYN3,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
CSRP1,ENSG00000159176,,P21291,RNA_BP,NOT_DNA_BP,xNA_BP
CSRP2,ENSG00000175183,,Q16527,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSRP3,ENSG00000129170,,P50461,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST1,ENSG00000170373,,P01037,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST11,ENSG00000125831,,Q9H112,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST2,ENSG00000170369,,P09228,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST3,ENSG00000101439,,P01034,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST4,ENSG00000101441,,P01036,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST5,ENSG00000170367,,P28325,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST6,ENSG00000175315,,Q15828,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST7,ENSG00000077984,,O76096,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST8,ENSG00000125815,,O60676,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST9,ENSG00000173335,,Q5W186,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CST9L,ENSG00000101435,,Q9H4G1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSTA,ENSG00000121552,,P01040,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CSTB,ENSG00000160213,,P04080,RNA_BP,NOT_DNA_BP,xNA_BP
CSTF1,ENSG00000101138,,Q05048,RNA_BP,NOT_DNA_BP,xNA_BP
CSTF2,ENSG00000101811,,P33240,RNA_BP,NOT_DNA_BP,xNA_BP
CSTF2T,ENSG00000177613,,Q9H0L4,RNA_BP,NOT_DNA_BP,xNA_BP
CSTF3,ENSG00000176102,,Q12996,RNA_BP,NOT_DNA_BP,xNA_BP
CSTL1,ENSG00000125823,,Q9H114,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A1,ENSG00000268940,,Q5HYN5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A10,ENSG00000269586,,P0DMU9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A2,ENSG00000271449,,Q5DJT8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A3,ENSG00000269096,,Q8NHU0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A5,ENSG00000228836,,P0DMU8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A6,ENSG00000278289,,P0DMU7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A7,ENSG00000273696,,P0DMV0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A8,ENSG00000278085,,P0DMV1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT45A9,ENSG00000270946,,P0DMV2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT476828.9,ENSG00000283949,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT47A1,ENSG00000226685,,Q5JQC4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT47B1,ENSG00000236446,,P0C2W7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT55,ENSG00000169551,,Q8WUE5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT62,ENSG00000225362,,P0C5K7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
CT83,ENSG00000204019,,Q5H943,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
