,complex,gene_names
803,95,RPL28
804,95,RPS9
805,95,RPS5
806,95,RPS10
807,95,RPL29
808,95,RPL34
809,95,RPL14
810,95,RPS20
811,95,RPS3A
812,95,RPL26
813,95,RPL15
814,95,RPL27
815,95,RPL37A
816,95,RPL37
817,95,RPS7
818,95,RPS8
819,95,RPS15A
820,95,RPS16
821,95,RPS14
822,95,RPS23
823,95,RPS18
824,95,RPS29
825,95,RPS13
826,95,RPS11
827,95,RPL7A
828,95,RPS4X
829,95,RPL23A
830,95,RPS6
831,95,RPL23
832,95,RPS15
833,95,RPS24
834,95,RPS25
835,95,RPS26
836,95,RPS28
837,95,FAU
838,95,RPL30
839,95,RPL39
840,95,RPL31
841,95,RPL10A
842,95,RPL32
843,95,RPL11
844,95,RPL8
845,95,RPL41
846,95,RPS27A
847,95,UBA52
848,95,RPL38
849,95,RPS21
850,95,RPL24
851,95,RPL36A
852,95,RPL19
853,95,RPL18A
854,95,RPL6
855,95,RPL18
856,95,RPL36
857,96,RPLP1
858,96,RPLP2
859,96,RPLP0
860,96,RPL35A
861,96,RPL7
862,96,RPL17
863,96,RPL13
864,96,RPL10
865,96,RPL12
866,96,RPL9
867,96, RPL9
868,96,RPL22
869,96,RPL4
870,96,RPL3
871,96,RPL13A
872,96,RPL35
873,96,RPL27A
874,96,RPL5
875,96,RPL21
876,96,RPL28
877,96,RPL29
878,96,RPL34
879,96,RPL14
880,96,RPL26
881,96,RPL15
882,96,RPL27
883,96,RPL37A
884,96,RPL37
885,96,RPL7A
886,96,RPL23A
887,96,RPL23
888,96,RPL30
889,96,RPL39
890,96,RPL31
891,96,RPL10A
892,96,RPL32
893,96,RPL11
894,96,RPL8
895,96,RPL41
896,96,UBA52
897,96,RPL38
898,96,RPL24
899,96,RPL36A
900,96,RPL19
901,96,RPL18A
902,96,RPL6
903,96,RPL18
904,96,RPL36
905,97,CCNB2
906,97,CDK1
907,97,PCNA
908,97,CCNB1
909,97,CCND1
910,97,CDKN1A
911,98,PCNA
912,98,CCND1
913,98,CCND3
914,98,CDKN1A
915,98,CDK5
916,99,MRPS12
917,99,MRPS14
918,99,DAP3
919,99,MRPS22
920,99,MRPS25
921,99,MRPS10
922,99,MRPS35
923,99,MRPS5
924,99,MRPS36
925,99,MRPS11
926,99,MRPS15
927,99,MRPS21
928,99,MRPS34
929,99,MRPS6
930,99,MRPS9
931,99,MRPS27
932,99,MRPS31
933,99,MRPS24
934,99,MRPS26
935,99,MRPS30
936,99,MRPS18A
937,99,MRPS33
938,99,MRPS28
939,99,MRPS17
940,99,MRPS7
941,99,MRPS2
942,99,MRPS16
943,99,MRPS18C
944,99,MRPS23
945,99,MRPS18B
946,100,MRPS23
947,100,MRPS21
948,100,MRPS26
949,100,MRPL32
950,100,MRPL52
951,100,MRPS27
