,target,prey,confidence
5000,MYO19,TOM1,A+
5001,MYO19,WDR1,B+
5002,MYO19,COBL,A+
5003,MYO19,HIP1R,B+
5004,MYO19,FLNB,A+
5005,MYO19,FLOT1,A
5006,MYO19,SVIL,A+
5007,MYO19,AP2A1,A+
5008,MYO19,TPM3,B
5009,MYO19,ANXA2;ANXA2P2,A+
5010,MYO19,TPM2,A+
5011,MYO19,HSP90AB1,B
5012,MYO19,CLTA,B
5013,MYO19,CLTB,A+
5014,MYO19,ACTN1,B+
5015,MYO19,CPM,A+
5016,MYO19,MYL6B,A+
5017,MYO19,FLNA,A+
5018,MYO19,VDAC1,B
5019,MYO19,GART,B-
5020,MYO19,CFL1,B
5021,MYO19,MSN,B+
5022,MYO19,TMOD1,A+
5023,MYO19,SSFA2,A+
5024,MYO19,MYH9,B-
5025,MYO19,PPP1CC,B+
5026,MYO19,EPS15,A+
5027,MYO19,VDAC2,B-
5028,MYO19,IQGAP1,B+
5029,MYO19,CAPZA2,B+
5030,MYO19,CAPZB,A+
5031,MYO19,CAPZA1,B
5032,MYO19,CLTCL1,B
5033,MYO19,MYL6,B
5034,MYO19,ACTR3,A+
5035,MYO19,ACTR2,A+
5036,MYO19,PPP1CA,A
5037,MYO19,GNB2,B+
5038,MYO19,AP2B1,A+
5039,MYO19,GNAI1,B
5041,MYO19,TPM4,A+
5042,MYO19,TUBA1B,B-
5043,MYO19,ST5,A+
5044,MYO19,BASP1,B+
5045,MYO19,DAB2,A+
5046,MYO19,CLTC,A
5047,MYO19,SPTBN1,A+
5048,MYO19,SPTBN1,C
5049,MYO19,CALD1,A+
5050,MYO19,AHNAK,B
5051,MYO19,FCHO2,B+
5052,MYO19,NEXN,A+
5053,MYO19,TWF1,B+
5054,MYO19,MYO1E,A+
5057,MYO19,SPTAN1,A+
5058,MYO19,DSG2,B+
5059,MYO19,DCTN1,B
5060,MYO19,CTTN,B+
5061,MYO19,FLOT2,B
5062,MYO19,ITPR3,A+
5063,MYO19,CLINT1,A+
5065,MYO19,PLEC,B
5066,MYO19,MYLK,B+
5067,MYO19,MAPK14,A
5068,MYO19,DBN1,B+
5069,MYO19,IMMT,A
5070,MYO19,INF2,A+
5071,MYO19,TPRN,A+
5072,MYO19,SPECC1,A+
5073,MYO19,ARHGAP21,A+
5074,MYO19,PTRF,B-
5075,MYO19,ARHGAP11A,B+
5076,MYO19,FBXO46,A+
5077,MYO19,MPRIP,A+
5078,MYO19,MICAL3,B+
5079,MYO19,PHLDB2,A+
5080,MYO19,LUZP1,A+
5081,MYO19,C19orf21,B+
5082,MYO19,RHOT2,B
5083,MYO19,SYNPO,A+
5084,MYO19,AFAP1,B+
5085,MYO19,GPRC5A,B
5086,MYO19,PALLD,B
5087,MYO19,MYO18A,A+
5088,MYO19,CORO2A,B+
5089,MYO19,AP2M1,A+
5090,MYO19,SIPA1,B+
5091,MYO19,MYO19,A+
5092,MYO19,DOCK7,A+
5093,MYO19,PPP1R9B,B+
5094,MYO19,GAS2L1,B+
5095,MYO19,ARPC5L,B+
5096,MYO19,CORO1B,B+
5097,MYO19,CARD10,B
5098,MYO19,UNC45A,B+
5099,MYO19,CHMP4B,B
5100,MYO19,ANTXR1,B
5101,MYO19,ZBTB20,B+
5102,MYO19,MYO5C,A+
5103,MYO19,CDC42SE2,A
5104,MYO19,BMP2K,A+
5105,MYO19,TMOD3,A+
5106,MYO19,GTSE1,A+
5107,MYO19,ACTR10,B
5108,MYO19,ADD3,B
5109,MYO19,LIMA1,B
5110,MYO19,MYO5B,B+
5111,MYO19,CFL2,A+
5112,MYO19,MYO5A,A+
5113,MYO19,LRRFIP2,A+
5114,KIF5B,TRAK1,A+
5115,KIF5B,KLC1,A+
5116,KIF5B,OGT,A
5117,KIF5B,KIF5B,A+
5120,KIF5B,KLC3,A
5121,KIF5B,NHS,B
5122,KIF5B,KLC2,A+
5123,KIF5B,SLC38A10,B-
5124,KIF5B,KLC4,A+
5126,THOC1,TARSL2,B
5127,THOC1,ADAR,B+
5128,THOC1,ALYREF,B+
5129,THOC1,GSN,B-
5130,THOC1,SP110,A
5131,THOC1,PRMT1,B+
5132,THOC1,CIP29,B+
5133,THOC1,MRPS17,B-
5134,THOC1,DDX39;DDX39A,A+
5135,THOC1,ZZEF1,A
5136,THOC1,KIF1C,B+
5137,THOC1,ZFC3H1,C
5138,THOC1,ZC3H11A,B+
5139,THOC1,DUSP11,B-
5140,THOC1,TOP3B,B
5141,THOC1,EIF4A3,B+
5142,THOC1,FXR1,B+
5143,THOC1,SARNP,B+
5144,THOC1,FMR1,B+
5145,THOC1,DHX9,B+
5146,THOC1,THOC5,A+
5147,THOC1,BAT1;DDX39B,A+
5148,THOC1,C17orf85,B+
5149,THOC1,NFKBIL1,B-
5150,THOC1,ZC3H13,B+
5151,THOC1,THOC7,A+
5152,THOC1,ZC3H14,B+
5154,THOC1,C15orf52,B+
5156,THOC1,THOC6,A+
5157,THOC1,ZC3H3,B+
5158,THOC1,C19orf47,A+
5159,THOC1,RBM15B,B+
5160,THOC1,THOC2,A+
5161,THOC1,ATG4A,B-
5162,THOC1,RBM33,B
5163,THOC1,THOC1,A+
5164,THOC1,THOC3,A+
5165,THOC1,PWWP2A,B
5166,THOC1,FYTTD1,B+
5167,THOC1,POLDIP3,A+
5168,THOC1,TDRD3,B
5169,THOC1,SCAF1,B
5170,THOC1,CAAP1,B+
5171,THOC1,BCLAF1,B+
5172,THOC1,GTSE1,B-
5173,THOC1,BCCIP,B-
5174,THOC1,RBM27,C+
5175,THOC1,B4GALT7,B
5176,THOC1,C14orf166,B
5177,THOC1,THRAP3,B+
5178,THOC1,CHTOP,A+
5179,PQBP1,WBP11,A+
5180,PQBP1,PABPC4L,B-
5181,PQBP1,PRPF4,A+
5182,PQBP1,SART1,C+
5183,PQBP1,PRPF3,B+
5184,PQBP1,PQBP1,A+
5185,PQBP1,WBP4,C
5186,PQBP1,SNRNP200,B+
5187,PQBP1,PRPF6,B+
5188,PQBP1,MFAP1,B+
5189,PQBP1,LSM6,B+
5190,PQBP1,IK,B+
5191,PQBP1,EFTUD2,B+
5192,PQBP1,SMU1,A+
5193,PQBP1,DENND4C,A-
5194,PQBP1,PRPF8,A+
5195,PQBP1,PRPF31,B+
5196,PQBP1,TOP1MT,B-
5197,PQBP1,SNRNP40,C
5198,PQBP1,TOE1,B+
5199,PQBP1,UBL5,B+
5200,PQBP1,TOPORS,B+
5201,PQBP1,ASF1B,A-
5202,PQBP1,RBM22,B+
5203,PQBP1,C16orf80,B+
5204,FTSJ1,SIRT6,B-
5205,FTSJ1,IBTK,B
5206,FTSJ1,CDC37,A+
5207,FTSJ1,DYSF,B-
5209,FTSJ1,MRM1,B-
5210,FTSJ1,RPS19BP1,B-
5211,FTSJ1,ZFP91,B-
5212,FTSJ1,WDR6,A+
5213,FTSJ1,GNL3L,A+
5214,FTSJ1,FTSJ1,A+
5215,RPL10,RPS6,A
5216,RPL10,GTPBP10,A
5217,RPL10,PIP5K1A,A
5218,RPL10,MYO1G,B+
5219,RPL10,EIF3EIP;EIF3L,A
5220,RPL10,C1orf149;MEAF6,A-
5221,RPL10,EPM2A,B-
5222,RPL10,EIF3F,A
5223,RPL10,MORF4L1,B-
5224,RPL10,MRPL48,B+
5225,RPL10,MRPS27,B
5226,RPL10,DECR1,B+
5227,RPL10,CMSS1,B+
5228,RPL10,RPSA;RPSAP58,A+
5229,RPL10,AAMP,A
5230,RPL10,IBTK,A+
5231,RPL10,PRRC2C,B+
5232,RPL10,NACA,A
5233,RPL10,RP11;RPP30,A
5234,RPL10,TBL2,B+
5235,RPL10,CHD3,B+
5236,RPL10,DDX55,C+
5237,RPL10,RPL32,A+
5238,RPL10,CNOT10,B-
5239,RPL10,DDX24,B+
5240,RPL10,MPG;PIG16,A+
5241,RPL10,LARP4B,B-
5242,RPL10,IMP4,B+
5243,RPL10,TMA16,B+
5244,RPL10,ATXN2,B+
5245,RPL10,EIF3C;EIF3CL,A
5246,RPL10,EBNA1BP2,A+
5247,RPL10,HDAC2,B
5248,RPL10,RPL17,B+
5249,RPL10,RPL19,B+
5250,RPL10,RPL18,C+
5251,RPL10,POLRMT,B+
5252,RPL10,CHD1,B+
5253,RPL10,NVL,A
5254,RPL10,SMARCA5,B+
5255,RPL10,NEMF,A+
5256,RPL10,ANKRD17,B
5257,RPL10,PSIP1,B+
5258,RPL10,BANF1,A
5259,RPL10,NPM3,A+
5260,RPL10,EIF3G,B
5261,RPL10,SRP72,B+
5262,RPL10,SGPL1,B
5263,RPL10,BRD1,B
5264,RPL10,POP4,A
5265,RPL10,TOP3B,B
5266,RPL10,RPLP0;RPLP0P6,B+
5267,RPL10,NPM1,A+
5268,RPL10,SRPR,B
5269,RPL10,SNRPB2,B
5270,RPL10,RPS17;RPS17L,B+
5271,RPL10,PARP1,B+
5272,RPL10,TOP2A,A+
5273,RPL10,PABPC1,B+
5274,RPL10,RPS2,A+
5275,RPL10,HIST1H1B,B+
5276,RPL10,UBTF,B+
5277,RPL10,DDX5,B+
5278,RPL10,RPL7,A+
5279,RPL10,EIF2AK2,A
5280,RPL10,BTF3,A-
5281,RPL10,BTF3,A
5282,RPL10,FBL,B+
5283,RPL10,RPS3,A+
5284,RPL10,RPS12,A+
5285,RPL10,RPL13,B+
5286,RPL10,RPL10,B+
5287,RPL10,RPL12,B+
5288,RPL10,RPL9,B+
5289,RPL10,RFC4,B+
5290,RPL10,RFC2,C+
5291,RPL10,RPL22,B+
5292,RPL10,DEK,A+
5293,RPL10,RPL4,B+
5294,RPL10,PPP1CC,B+
5295,RPL10,SRP14,C
5296,RPL10,RPS19,B+
5297,RPL10,RPL3,B+
5298,RPL10,RPL13A,B+
5299,RPL10,RFC5,C
5300,RPL10,RFC3,B+
5301,RPL10,RPS27,B+
5302,RPL10,RPL35,A+
5303,RPL10,MKI67,B+
5304,RPL10,NOP2,B+
5305,RPL10,RPL27A,A+
5306,RPL10,RPL5,A+
5307,RPL10,RPS9,B+
5308,RPL10,RPS5,B+
5309,RPL10,RPS10,B+
5310,RPL10,EIF1AX;EIF1AY,A-
5311,RPL10,RPL29,B+
5312,RPL10,EIF2B2,B-
5313,RPL10,RPL14,C+
5314,RPL10,MLLT6,B
5315,RPL10,EIF3E,A
5316,RPL10,RPS20,A+
5317,RPL10,RPS3A,A+
5318,RPL10,RPL15,C+
5319,RPL10,RPL27,B+
5320,RPL10,RPS7,B+
5321,RPL10,RPS8,B+
5322,RPL10,RPS15A,A+
5323,RPL10,RPS16,A+
5324,RPL10,RPS14,A+
5325,RPL10,RPS23,C+
5326,RPL10,RPS18,B+
5327,RPL10,RPS29,B+
5328,RPL10,RPS13,B+
5329,RPL10,RPS11,B+
5330,RPL10,RPL7A,B+
5331,RPL10,RPS4X,A+
5332,RPL10,RPL23A,A+
5333,RPL10,RPS6,A+
5334,RPL10,RPL23,A+
5335,RPL10,RPS24,A+
5336,RPL10,RPS25,A+
5337,RPL10,RPS26,B+
5338,RPL10,RPL30,B+
5339,RPL10,RPL31,B+
5340,RPL10,RPL10A,B+
5341,RPL10,RPL11,B+
5342,RPL10,RPL8,B+
5343,RPL10,RPS27A,B+
5344,RPL10,RPL38,B+
5345,RPL10,RPS21,A+
5346,RPL10,GNB2L1,A
5347,RPL10,H3F3C;HIST1H3A;HIST3H3,B+
5348,RPL10,NTHL1,B+
5349,RPL10,RPL24,B+
5350,RPL10,RBM3,B+
5351,RPL10,GTF2B,A
5352,RPL10,HNRNPU,B+
5353,RPL10,RPL18A,B+
5354,RPL10,RPL6,B+
5355,RPL10,TOP2B,B+
5356,RPL10,ERCC6,B+
5357,RPL10,FMR1,B
5358,RPL10,DHX9,B+
5359,RPL10,NSUN2,B+
5360,RPL10,CHAF1B,B+
5361,RPL10,G3BP1,A+
5362,RPL10,EIF3I,A-
5363,RPL10,PDAP1,B-
5364,RPL10,GNL2,C+
5365,RPL10,EIF3A,A
5366,RPL10,EIF2B1,B
5367,RPL10,USP10,A+
5368,RPL10,KIF22,B+
5369,RPL10,ZMYND11,B+
5370,RPL10,SKIV2L,B
5371,RPL10,IFI16,B+
5372,RPL10,TSR1,A+
5373,RPL10,DNAJC21,A
5374,RPL10,RRP12,C+
5375,RPL10,SPIN2A;SPIN2B,A-
5376,RPL10,HP1BP3,B+
5377,RPL10,FOCAD,B-
5378,RPL10,NIPBL,B+
5379,RPL10,DHX57,B+
5380,RPL10,TTC37,A+
5381,RPL10,LARP1,B+
5382,RPL10,MLF1IP,A-
5383,RPL10,LARP4,B+
5384,RPL10,ABCF2,A+
5385,RPL10,SND1,A+
5386,RPL10,DHX30,A+
5387,RPL10,MEPCE,B+
5388,RPL10,TRMT1L,C
5389,RPL10,NUFIP2,B+
5390,RPL10,DHX29,A
5391,RPL10,YTHDF3,A
5392,RPL10,CENPV,B
5393,RPL10,ZNF598,B
5394,RPL10,ALYREF,B
5395,RPL10,SPATS2,B+
5396,RPL10,MINA,A
5397,RPL10,PHF6,B+
5398,RPL10,FTSJ3,B+
5399,RPL10,PELP1,B+
5400,RPL10,PDCD7,B+
5401,RPL10,SERBP1,B+
5402,RPL10,LEMD2,B-
5403,RPL10,DDX54,B+
5404,RPL10,BRIX1,C+
5405,RPL10,GTF3C2,B+
5406,RPL10,TFB1M,B+
5407,RPL10,PHIP,B+
5408,RPL10,DDX1,A+
5409,RPL10,H1FX,B+
5410,RPL10,PHF16,A
5411,RPL10,LARP4B,A+
5412,RPL10,KAT6A;MYST3,B
5413,RPL10,EMG1,B+
5414,RPL10,ZNF622,A+
5415,RPL10,CCDC124,A+
5416,RPL10,MRPL38,A-
5417,RPL10,DDX27,B+
5418,RPL10,MUS81,B
5419,RPL10,UHRF1,B+
5420,RPL10,POP1,B+
5421,RPL10,DDX50,C+
5422,RPL10,MYBBP1A,B+
5423,RPL10,UTP23,B+
5424,RPL10,GNL3,B+
5425,RPL10,SPATA5L1,B
5426,RPL10,GTPBP2,A+
5427,RPL10,YTHDF1,A-
5428,RPL10,GTPBP4,B+
5429,RPL10,LSG1,A
5430,RPL10,NAT10,A+
5431,RPL10,DDX47,B+
5432,RPL10,MRPL46,B+
5433,RPL10,DHX33,B+
5434,RPL10,NOL6,A+
5435,RPL10,NO66,B+
5436,RPL10,SCAF1,B+
5437,RPL10,RNMTL1,B+
5438,RPL10,WDR6,B-
5439,RPL10,NOP10,B
5440,RPL10,AVEN,A-
5441,RPL10,DDX21,A+
5442,RPL10,APOBEC3C,B+
5443,RPL10,PNO1,A+
5444,RPL10,GNL3L,A+
5445,RPL10,DDX18,A+
5446,RPL10,MTPAP,A+
5447,RPL10,RBM28,B+
5448,RPL10,PAK1IP1,B+
5449,RPL10,LYAR,B+
5450,RPL10,TEX10,B+
5451,RPL10,AATF,B+
5452,RPL10,MLTK,B-
5453,RPL10,GLTSCR2,B+
5454,RPL10,USP36,B+
5455,RPL10,BCCIP,B+
5456,RPL10,NXF1,B+
5457,RPL10,EIF2B4,A+
5458,RPL10,TRMT112,A
5459,RPL10,BAZ1B,B+
5460,RPL10,HERC5,B+
5461,RPL10,TSR3,A
5462,RPL10,MRTO4,A+
5463,RPL10,PACSIN3,B
5464,RPL10,NOB1,B
5465,RPL10,NOL7,B+
5466,RPL10,G3BP2,B+
5467,RPL10,DIMT1,B+
5468,RPL10,PA2G4,A-
5469,RPL10,NIP7,B+
5470,RPL10,C14orf166,B+
5471,RPL10,DRG1,B
5472,RPL10,NOP58,B+
5473,RPL10,RRP15,B+
5474,RPL10,C22orf28,B+
5475,RPL10,RPL36,B+
5476,RPL10,LAS1L,A+
5477,RPL10,YTHDF2,B+
5478,RPL10,SUPT16H,B+
5479,ATP6AP2,RAP1B,A
5480,ATP6AP2,ATP6AP2,A+
5481,ATP6AP2,TMUB1,B+
5482,ATP6AP2,GOSR1,A-
5483,ATP6AP2,ATP6V0D1,A+
5484,ATP6AP2,ATP6V0A1,A+
5485,ATP6AP2,PON2,B-
5486,ATP6AP2,ESYT2,B-
5487,ATP6AP2,PDIA3,A+
5488,ATP6AP2,WWP2,A-
5489,ATP6AP2,GOLIM4,A-
5490,ATP6AP2,LAMTOR5,B
5491,ATP6AP2,CHMP2A,A
5492,ATP6AP2,ATP6V1G1,A+
5493,ATP6AP2,SEC22B,B-
5494,ATP6AP2,FLOT1,A+
5495,ATP6AP2,ZBTB11,B-
5496,ATP6AP2,TOP3B,B-
5497,ATP6AP2,TFRC,A+
5498,ATP6AP2,ENO1,B
5499,ATP6AP2,LGALS1,C
5500,ATP6AP2,CLTA,B
5501,ATP6AP2,RALA,A
5502,ATP6AP2,CD59,B
5503,ATP6AP2,CPM,B+
5504,ATP6AP2,JUP,B+
5505,ATP6AP2,GLB1,A+
5506,ATP6AP2,ATP6V1B2,A+
5507,ATP6AP2,PDIA3,B
5508,ATP6AP2,ETFB,B-
5509,ATP6AP2,ATP6V1A,A+
5510,ATP6AP2,RANGAP1,B-
5511,ATP6AP2,NUMB,B-
5512,ATP6AP2,RAB7A,A
5513,ATP6AP2,CLCN7,A
5514,ATP6AP2,IST1,A+
5515,ATP6AP2,RAB14,A
5516,ATP6AP2,ACTR2,B-
5517,ATP6AP2,RHOA;RHOC,A+
5518,ATP6AP2,BASP1,A
5519,ATP6AP2,RHOG,A+
5520,ATP6AP2,CKAP4,B
5521,ATP6AP2,PLD1,A
5522,ATP6AP2,URB2,B-
5523,ATP6AP2,FLOT2,A+
5524,ATP6AP2,FKBP8,A
5525,ATP6AP2,CLINT1,A
5526,ATP6AP2,ATP6AP1,A+
5527,ATP6AP2,RAB11A;RAB11B,A
5528,ATP6AP2,RABL3,A+
5529,ATP6AP2,SPECC1,B
5530,ATP6AP2,LAMTOR1,A
5531,ATP6AP2,PTRF,B
5532,ATP6AP2,RAB11FIP2,B-
5533,ATP6AP2,PHLDB2,B
5534,ATP6AP2,KTN1,B
5535,ATP6AP2,OSTM1,A+
5536,ATP6AP2,WDR75,B-
5537,ATP6AP2,C2orf18,A
5538,ATP6AP2,UBAC2,B
5539,ATP6AP2,GPRC5A,B
5540,ATP6AP2,PPP1R13L,B-
5541,ATP6AP2,MITD1,A+
5542,ATP6AP2,SCFD1,A+
5543,ATP6AP2,PRKCDBP,B
5544,ATP6AP2,CERS2;LASS2,B-
5545,ATP6AP2,CCDC115,B+
5546,ATP6AP2,SLC38A2,A
5547,ATP6AP2,BEGAIN,B-
5548,ATP6AP2,JPH1,B-
5549,ATP6AP2,SH3BP4,A-
5550,ATP6AP2,TES,B-
5551,ATP6AP2,PACSIN3,A
5552,ATP6AP2,KIDINS220,B+
5553,ATP6AP2,STUB1,B-
5554,ATP6AP2,CHMP2B,A
5555,ATP6AP2,LAMTOR2,A+
5556,ATP6AP2,CD2AP,B+
5557,PRPS1,PRPSAP2,A+
5558,PRPS1,PRPS2,A+
5559,PRPS1,PRPS1,A+
5560,PRPS1,PRPSAP1,A+
5561,PRPS1,C16orf95;FBXO31,A
5562,PRPS1,TOP1MT,B-
5563,PRPS1,KLHL13,A+
5564,PRPS1,PRPF19,B
5565,SLC6A8,SSR3,B-
5566,SLC6A8,ELOVL5,B
5567,SLC6A8,MAPT,B-
5568,SLC6A8,SLC6A8,A+
5569,SLC6A8,SCYL1,B-
5570,SLC6A8,PPIL3,B-
5571,SLC6A8,MAGED2,B-
5572,ATRX,TCEB1,B-
5573,ATRX,ING5,A+
5574,ATRX,KAT7,B+
5575,ATRX,CBX4,B-
5576,ATRX,CHD1,B+
5577,ATRX,PARP1,B+
5578,ATRX,TOP2A,B+
5579,ATRX,UBTF,B+
5580,ATRX,ATRX,A+
5581,ATRX,RBX1,A
5582,ATRX,TOP2B,B+
5583,ATRX,ORC1,B+
5584,ATRX,PWP2,B
5585,ATRX,HIST2H2BE,B
5586,ATRX,PHIP,A
5587,ATRX,PHF16,A+
5588,ATRX,DPY30,B-
5589,ATRX,WDR76,A
5590,ATRX,BRWD1,A+
5591,ATRX,DAXX,A+
5592,ATRX,SUPT16H,B+
5593,ATRX,IVNS1ABP,B
5594,FLNA,PLEKHG3,A+
5595,FLNA,CORO1C,B+
5596,FLNA,CYBRD1,B+
5597,FLNA,RAI14,C+
5598,FLNA,CD44,A+
5599,FLNA,MYO6,B+
5600,FLNA,GSN,C+
5601,FLNA,KIAA1211,B+
5602,FLNA,SSH2,B+
5603,FLNA,ARPC4,C+
5604,FLNA,STON2,A+
5605,FLNA,PPP1R18,B+
5606,FLNA,ABLIM1,A+
5607,FLNA,CALM1;CALM2;CALM3,C
5608,FLNA,TPM1,B+
5609,FLNA,SORBS2,C+
5610,FLNA,DIXDC1,A+
5611,FLNA,MYO1C,A+
5612,FLNA,PIK3C2A,B+
5613,FLNA,ABLIM1,B+
5614,FLNA,PPP1R12A,C+
5615,FLNA,SPTBN2,C
5616,FLNA,ARPC1B,C+
5617,FLNA,ARPC3,C
5618,FLNA,DAPK3,C
5619,FLNA,ACTN4,A+
5620,FLNA,MYO1B,B+
5621,FLNA,WDR1,B+
5622,FLNA,COBL,B+
5623,FLNA,FLNB,A+
5624,FLNA,PALM,B+
5625,FLNA,FLOT1,B+
5626,FLNA,SVIL,A+
5627,FLNA,SVIL,B
5628,FLNA,AP2A1,A+
5629,FLNA,ANXA2;ANXA2P2,A+
5630,FLNA,TPM2,C+
5631,FLNA,HSP90AB1,B+
5632,FLNA,CLTA,A+
5633,FLNA,CLTB,A+
5634,FLNA,CD59,A+
5635,FLNA,CPM,A+
5636,FLNA,JUP,B+
5637,FLNA,FLNA,A+
5638,FLNA,CFL1,B+
5639,FLNA,HMGB2,B+
5640,FLNA,TMOD1,C+
5641,FLNA,SSFA2,B+
5642,FLNA,PPP1CC,C
5643,FLNA,EPS15,A+
5644,FLNA,CAPZA2,C+
5645,FLNA,CAPZB,C+
5646,FLNA,CAPZA1,B+
5647,FLNA,SEC13,A
5648,FLNA,ACTB,B+
5649,FLNA,S100A10,A+
5650,FLNA,ACTR3,C
5651,FLNA,ACTR2,C
5652,FLNA,PPP1CA,B+
5653,FLNA,GNB2,B+
5654,FLNA,AP2B1,B+
5655,FLNA,GNAI1,B+
5656,FLNA,ACTG1,B+
5657,FLNA,TPM4,C+
5658,FLNA,BASP1,A+
5659,FLNA,DAB2,A+
5660,FLNA,CLTC,A+
5661,FLNA,SPTBN1,B+
5662,FLNA,SPTBN1,A+
5663,FLNA,NEXN,A+
5664,FLNA,TWF1,C
5665,FLNA,MYO1E,B+
5666,FLNA,FLII,B+
5667,FLNA,SPTAN1,B+
5668,FLNA,SPTAN1,A+
5669,FLNA,DSG2,B+
5670,FLNA,CTTN,C
5671,FLNA,FLOT2,B+
5672,FLNA,ITPR3,B+
5673,FLNA,CLINT1,A+
5674,FLNA,PLEC,A+
5675,FLNA,UAP1,A+
5676,FLNA,DBN1,A+
5677,FLNA,FSCN1,C
5678,FLNA,INF2,A+
5679,FLNA,TPRN,A+
5680,FLNA,GNAS,B+
5681,FLNA,SPECC1,B+
5682,FLNA,ARHGAP21,C
5683,FLNA,KIAA1009,A+
5684,FLNA,ARHGAP11A,C
5685,FLNA,MPRIP,C+
5686,FLNA,PHLDB2,C
5687,FLNA,LUZP1,C+
5688,FLNA,C19orf21,A+
5689,FLNA,SYNPO,C+
5690,FLNA,AFAP1,A+
5691,FLNA,PALLD,B+
5692,FLNA,MYO18A,C+
5693,FLNA,CORO2A,A+
5694,FLNA,AP2M1,B+
5695,FLNA,PPP1R9B,C
5696,FLNA,ARPC5L,C+
5697,FLNA,CORO1B,C
5698,FLNA,KCTD10,B+
5699,FLNA,CHMP4B,A+
5700,FLNA,ANTXR1,B+
5701,FLNA,ZBTB20,C
5702,FLNA,MYO5C,A+
5703,FLNA,BMP2K,B+
5704,FLNA,TMOD3,B+
5705,FLNA,GNG12,B+
5706,FLNA,TES,B+
5707,FLNA,LIMA1,B+
5708,FLNA,LIMA1,A+
5709,FLNA,CFL2,A+
5710,FLNA,AKAP2,C
5711,FLNA,MYO5A,C+
5712,PHF8,MRPS27,B+
5713,PHF8,H2AFY,B+
5714,PHF8,CENPB,B
5715,PHF8,EIF6,B+
5716,PHF8,H3F3C;HIST1H3A;HIST3H3,A
5717,PHF8,MRPS35,B
5718,PHF8,MRPS15,B
5719,PHF8,XPC,B
5720,PHF8,TRIM26,B
5721,PHF8,TRIP12,B+
5722,PHF8,PLEC,B-
5723,PHF8,HIST2H2BE,B+
5724,PHF8,DNTTIP2,B+
5725,PHF8,RIF1,B+
5726,PHF8,BRAT1,A
5727,PHF8,NOL8,A+
5728,PHF8,C6orf150;MB21D1,B+
5729,PHF8,THAP11,B
5730,PHF8,PI4K2A,B
5731,PHF8,LSM14B,B
5732,PHF8,UPF3A,B
5733,PHF8,INCENP,B+
5734,PHF8,RCC2,B
5735,PHF8,PHF8,A+
5736,PHF8,NIP7,B+
5737,PRSS12,SH3PXD2A,B-
5738,PRSS12,PRPF40A,B-
5739,PRSS12,PRSS12,A+
5740,PRSS12,PPIL3,B-
5741,PRSS12,CNTLN,B-
5742,NDE1,APIP,B-
5743,NDE1,AMZ2,B-
5744,NDE1,LCOR,B-
5745,NDE1,CLPTM1L,B-
5746,NDE1,DCAF13,B-
5747,NDE1,NDE1,A+
5748,USP43,DKFZP586J0619,B
5749,USP43,DDX11;DDX11L8;DDX12P,B-
5750,USP43,SSR3,B-
5751,USP43,USP43,A+
5752,USP43,NCOA4,B-
5753,USP43,CEP57,B-
5754,USP43,MRPS12,B-
5755,USP43,STX10,A-
5756,USP43,USP1,B-
5757,USP43,HAUS5,B-
5758,USP43,MAPT,B-
5759,USP43,PSMA2,B-
5760,USP43,POLD1,A-
5761,USP43,CSNK2B,B-
5762,USP43,TXNL4A,B-
5763,USP43,NHS,B-
5764,USP43,ATG4A,B-
5765,USP43,LCOR,B-
5766,USP43,CDK5RAP2,A-
5767,USP43,TRIM56,A-
5768,USP43,TMEM165,B-
5769,USP43,FTSJ1,A-
5770,USP43,TRMT6,A-
5771,RABEP1,KCTD7;RABGEF1,A+
5772,RABEP1,RABEP1,A+
5773,DDB1,SIRT6,B-
5774,DDB1,GMDS,A-
5775,DDB1,DTL,A+
5776,DDB1,ZFC3H1,A
5777,DDB1,KPNA2,B
5778,DDB1,RBX1,A+
5779,DDB1,TRA2B,B-
5780,DDB1,CUL4A,A
5781,DDB1,CUL4B,A+
5782,DDB1,NOLC1,B
5783,DDB1,DDB1,A+
5784,DDB1,DCAF6,A+
5785,DDB1,DCAF10,B
5786,DDB1,ZC3H3,A-
5787,DDB1,DCAF11,A+
5788,DDB1,DDB2,A+
5789,DDB1,PRPF18,B-
5790,DDB1,DDA1,A+
5791,DDB1,AMBRA1,A+
5792,DDB1,IFRG15,A+
5793,DDB1,DCAF16,A+
5794,DDB1,COPS3,A+
5795,DDB1,VPRBP,A+
5796,GMNN,GMNN,A+
5797,GMNN,CCNA2,A+
5798,GMNN,CKS1B,A+
5799,GMNN,SKP2,A+
5800,GMNN,CDT1,A+
5801,VPS18,SRRM1,B-
5802,VPS18,VPS8,A+
5803,VPS18,PRSS1;PRSS2;TRY6,A
5804,VPS18,OBSCN,B
5805,VPS18,RSRC1,B-
5806,VPS18,BIN1,B-
5807,VPS18,ALDOA,B-
5808,VPS18,VPS41,A+
5809,VPS18,MTA1,B-
5810,VPS18,MIA3,B
5811,VPS18,TJAP1,B-
5812,VPS18,TGFBRAP1,A+
5813,VPS18,VPS33A,A+
5814,VPS18,VPS16,A+
5815,VPS18,VPS11,A+
5816,VPS18,VPS18,A+
5817,PCBP2,PRICKLE3,B-
5818,PCBP2,FARP1,B-
5819,PCBP2,USP11,B+
5820,PCBP2,RAD54L2,A-
5821,PCBP2,PCBP2,A+
5822,PCBP2,ZFYVE26,A
5823,PCBP2,SAV1,A+
